gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MLEC,1789.695199,0.521796227,0.105497194,4.946067326,7.57E-07,4.10E-06
MVK,237.4579452,-1.197198411,0.303062898,-3.950329849,7.80E-05,0.000290571
CSRNP2,1412.124161,-0.301122869,0.152805911,-1.970623171,0.048766994,0.092590358
CAMKK2,6681.470591,-0.97183205,0.16459414,-5.904414653,3.54E-09,2.79E-08
BIN2,1668.823308,-0.65525599,0.174771992,-3.749204791,0.000177396,0.000613084
IL23A,122.9592543,4.434810308,0.552712897,8.023714179,1.03E-15,1.77E-14
ATP5F1B,2302.937051,-0.550387477,0.151815748,-3.625364858,0.000288554,0.00095289
PTGES3,1054.107815,0.532840636,0.289580693,1.840041994,0.065762072,0.119226198
SYT10,0.578966376,-1.766945695,1.239768921,-1.425221802,0.154093096,0.242481452
RSRC2,2097.270319,0.673418314,0.118607436,5.67770735,1.37E-08,9.88E-08
CYP27B1,1725.224667,-0.637236746,0.220218272,-2.893659734,0.003807806,0.009830102
MYF5,5952.838844,11.57046979,0.392553968,29.47485118,6.05E-191,2.71E-187
LIN7A,946.4292758,0.55466971,0.142629988,3.888871607,0.000100711,0.000366024
KRT18,1149.663001,-0.730728366,0.144296001,-5.064092989,4.10E-07,2.33E-06
ACSS3,253.3902631,0.640565156,0.268159311,2.388748512,0.01690587,0.036862342
TNS2,5.000383375,-0.609535248,0.952646186,-0.63983382,0.522280643,0.63269789
GLI1,11.61435898,-1.533329088,0.5625399,-2.725725033,0.006416042,0.015608285
PPM1H,1302.445072,-0.995755857,0.150422451,-6.619728969,3.60E-11,3.80E-10
LTA4H,1851.349733,0.272879632,0.176573477,1.545416878,0.122245461,0.20008676
ELK3,220.7654273,1.616396245,0.21377897,7.561062912,4.00E-14,5.92E-13
SLC6A12,159.234506,1.433948635,0.226370633,6.334517046,2.38E-10,2.23E-09
WNT5B,2.384926811,0.573509858,0.713251515,0.804078008,0.421351925,0.53861996
TRPV4,541.0183397,0.336308448,0.094227484,3.569112038,0.000358193,0.001161589
ITFG2,5850.803781,-0.112409635,0.124123368,-0.905628303,0.365132623,0.481244439
PRR4,1689.370657,0.127283049,0.160156735,0.794740534,0.426764448,0.543573998
PRMT8,0.666542916,-1.577805457,2.028270253,-0.777906916,0.436623891,0.553467728
PARP11,50.06020073,6.434188459,0.95966492,6.704619838,2.02E-11,2.21E-10
ARPC3,120.7238735,-2.561466938,0.554683377,-4.617890215,3.88E-06,1.86E-05
GPN3,1392.516514,-0.023833814,0.06032348,-0.395100123,0.692768998,0.778924935
VPS29,24.63227028,3.558725103,0.574634681,6.193021795,5.90E-10,5.24E-09
FGF6,86.90173947,0.736288909,0.20252268,3.635587429,0.000277348,0.0009197
MYL2,2229.220273,0.695212269,0.15716982,4.42331911,9.72E-06,4.32E-05
RAD51AP1,7.993152851,3.797069223,0.753419135,5.039783364,4.66E-07,2.62E-06
CUX2,7.406299962,2.224183604,0.625502367,3.555835629,0.00037678,0.001215539
SH2B3,3041.39606,0.214397836,0.134723565,1.591390764,0.111521662,0.185574807
AKAP3,1290.742113,0.601499723,0.233512364,2.575879549,0.009998547,0.02310611
MANSC1,2004.650287,0.34955163,0.216094701,1.617585387,0.10575198,0.177424068
DUSP16,266.4040674,0.417061995,0.205443876,2.030053189,0.042351133,0.082052076
CREBL2,206.0966343,-3.158889984,1.262517708,-2.502055981,0.01234744,0.027865729
ACAD10,1007.544776,0.608688515,0.114869208,5.298970227,1.16E-07,7.25E-07
ALDH2,445.8169431,0.133056449,0.137337793,0.968826176,0.332631924,0.447898102
CDKN1B,88.93650052,3.238350772,0.376163782,8.608885084,7.38E-18,1.52E-16
GPRC5D,1123.112945,0.100537587,0.119224362,0.843263784,0.399080933,0.515932583
NAA25,28.80419021,3.131613414,0.435460679,7.191495272,6.41E-13,8.39E-12
GSG1,2.09365129,-0.48276439,0.877170678,-0.550365399,0.582068776,0.685924854
SCNN1A,5215.080811,0.392737629,0.134874989,2.911864026,0.00359279,0.009316156
LTBR,1673.452174,0.586460197,0.091816584,6.387301388,1.69E-10,1.63E-09
OGFOD2,206.0431376,-5.30122345,0.307679497,-17.22969356,1.59E-66,3.26E-64
CDK2AP1,783.2243368,-0.487378198,0.137451535,-3.545818528,0.000391396,0.001259081
OAS3,1066.858043,0.614777286,0.293150872,2.09713613,0.035981526,0.071373453
ART4,415.4668166,0.083290189,0.175577235,0.474379204,0.63522952,0.73106754
MGP,6.644386364,-1.222320968,0.669607382,-1.82542935,0.067936264,0.122720922
RASAL1,382.2034765,-0.807725958,0.382926577,-2.109349434,0.034914431,0.069559672
ARHGDIB,1316.510419,0.221078131,0.166523027,1.327612977,0.184305995,0.28048069
GTF2H3,699.0173307,0.353735003,0.223632133,1.581771809,0.113701673,0.188595158
EIF2B1,1159.879436,-0.341017045,0.135603151,-2.51481653,0.011909434,0.026976916
DDX55,1.149185918,-0.883742975,0.884311945,-0.999356595,0.317621978,0.431884894
SLC38A1,373.8050602,-0.760305925,0.214951955,-3.537097049,0.000404551,0.001299068
ENDOU,1.559128434,1.612561108,0.962170989,1.675961057,0.093745821,0.160624118
SPRING1,1809.146329,-0.309774176,0.105510863,-2.935945816,0.003325324,0.008695356
VDR,0.495416326,-0.425551721,1.165826878,-0.365021367,0.715095456,0.796451517
RFC5,2286.724693,-0.157262479,0.106840521,-1.471936649,0.141037986,0.225659723
STX2,7536.987735,0.29923675,0.139498562,2.145088428,0.031945778,0.064433415
ADGRD1,3776.179711,0.492283527,0.14396648,3.419431579,0.000627521,0.001936166
COPZ1,2042.48758,0.616279771,0.11126863,5.538665953,3.05E-08,2.08E-07
TBC1D30,3619.234501,0.496045784,0.289686517,1.712353717,0.086831503,0.150646211
CAND1,759.8909389,-0.383285348,0.124919697,-3.068253904,0.002153136,0.00587514
IL26,1.920245853,-0.457606811,0.688930415,-0.664227911,0.506544452,0.618542148
IFNG,307.3763382,-0.391350202,0.287175673,-1.362755407,0.172959609,0.26673375
RAB5B,442.9773954,-0.706400605,0.193119738,-3.657837423,0.000254352,0.000851241
MDM1,1125.455182,0.297580578,0.144696488,2.056584659,0.039726195,0.077677661
NUP107,413.6705772,2.142388602,0.485261386,4.414916712,1.01E-05,4.48E-05
CNOT2,1959.98742,-0.152346784,0.198687304,-0.766766574,0.443220313,0.559600784
TIMELESS,2.801247576,4.332498185,0.967608164,4.477533723,7.55E-06,3.43E-05
CPSF6,534.0467085,0.704662352,0.12215577,5.76855559,8.00E-09,5.99E-08
KRR1,93.73994393,5.481923699,0.480576892,11.40696482,3.86E-30,1.77E-28
MRPL51,101.278963,4.975172377,0.314810925,15.80368399,2.93E-56,4.33E-54
GAPDH,745.143709,1.52286409,0.215586078,7.063833159,1.62E-12,2.03E-11
NOP2,1818.035163,-0.373256571,0.105835386,-3.526765357,0.000420669,0.001346162
ACRBP,1892.654413,-0.303637606,0.233311155,-1.301427725,0.193112089,0.291053015
UHRF1BP1L,1691.520748,0.646655263,0.111362048,5.806783136,6.37E-09,4.86E-08
COPS7A,940.9846426,1.183870851,0.182355918,6.492089015,8.47E-11,8.53E-10
CDCA3,35.85952692,2.999966813,0.455697148,6.583246853,4.60E-11,4.81E-10
USP5,1164.820934,-0.98211399,0.161779911,-6.070679504,1.27E-09,1.07E-08
TPI1,2165.972413,-0.483241227,0.190534545,-2.536239432,0.011205009,0.025573115
LOC105369632,1494.228158,0.439557112,0.161628231,2.719556539,0.006536952,0.015859352
ENO2,4623.258491,0.504147993,0.177566574,2.839205497,0.004522602,0.011433717
LPCAT3,424.6738663,10.39304899,0.756818855,13.73254501,6.48E-43,5.79E-41
NT5DC3,0.672679654,2.189182556,1.120453246,1.953836595,0.050720545,0.095734227
SLCO1B3,1096.241433,-0.480089405,0.179738979,-2.67103667,0.007561739,0.018047395
APOBEC1,1421.366663,1.128327466,0.153542187,7.348647868,2.00E-13,2.78E-12
SUDS3,707.4804699,-1.497274053,0.171205613,-8.745472941,2.22E-18,4.73E-17
GOLT1B,1592.172935,10.70941071,0.560690663,19.10039069,2.51E-81,8.86E-79
GYS2,1.860992121,4.332984697,1.488367547,2.911232985,0.003600055,0.009333192
LDHB,0.794786971,3.124927881,1.429851392,2.185491372,0.028852838,0.058933736
PRKAB1,1278.193719,-0.36945544,0.152789701,-2.418065078,0.015603286,0.034341566
CMAS,1477.909487,0.322022788,0.303067079,1.062546249,0.287987774,0.399988807
HCFC2,11796.71656,-0.258979634,0.125189925,-2.068693898,0.03857482,0.075768142
ST8SIA1,5967.070335,0.506629762,0.127019761,3.988590106,6.65E-05,0.000251406
CLEC4A,3.729542991,-1.565461369,0.897934583,-1.743402468,0.081263337,0.142662068
C2CD5,1094.829114,0.426571977,0.138111846,3.088598046,0.002011033,0.0055232
AICDA,72.19670545,-0.685227596,0.505259352,-1.356189832,0.175038776,0.269384496
RAB35,427.6244844,5.566752911,0.377069758,14.76319116,2.53E-49,2.89E-47
PHC1,1.49002545,2.802195589,1.015066423,2.760603173,0.005769473,0.014215533
COX6A1,9101.770294,-0.155839934,0.104689727,-1.488588594,0.136595737,0.219786483
RFX4,2928.346661,-0.529955393,0.098253667,-5.39374669,6.90E-08,4.46E-07
RIC8B,506.724752,-0.868923255,0.202835783,-4.283875566,1.84E-05,7.75E-05
SRSF9,284.6627419,0.642533383,0.151887223,4.230332012,2.33E-05,9.65E-05
FGFR1OP2,671.1329713,0.342497023,0.086762438,3.94752651,7.90E-05,0.000293749
KLRB1,12342.36727,2.478062414,0.130218234,19.03007236,9.61E-81,3.27E-78
COL12A1,86.15802902,4.010164705,0.495361108,8.095437133,5.71E-16,1.01E-14
BTN3A3,20.33229574,-2.112679025,0.662704177,-3.187966969,0.001432769,0.004059915
TDP2,397.7702687,-2.126516172,0.422201374,-5.036734366,4.74E-07,2.66E-06
FRK,8534.161556,-1.028367655,0.224341223,-4.583944236,4.56E-06,2.15E-05
DSE,117.9488471,2.372795117,0.320678016,7.399307088,1.37E-13,1.93E-12
RWDD1,127.1366479,-0.099541653,0.260487707,-0.382135704,0.70236071,0.786370109
RSPH4A,3297.729866,0.300477467,0.128696035,2.334784179,0.019554698,0.04194038
PAK1IP1,1531.56353,-0.367114527,0.212989805,-1.723624882,0.084775584,0.147658655
GCNT2,4516.022132,-0.058559021,0.133022707,-0.440218229,0.659779058,0.751921701
SMIM8,13.54191552,1.297473727,0.48827098,2.657282082,0.00787735,0.018694446
NEDD9,3664.514283,0.412129635,0.20686351,1.992278073,0.046340556,0.088580703
CEP85L,48.90797738,-2.662598152,0.574726242,-4.632811165,3.61E-06,1.74E-05
ADTRP,1898.963699,-0.364130903,0.303652732,-1.199168867,0.23046229,0.335979364
ASF1A,6.888918274,1.141152509,0.532473563,2.143115806,0.032103801,0.064704701
MCM9,111.9366999,0.701498909,0.236205879,2.969862193,0.002979334,0.007882124
FAM184A,3.419993413,-0.482325978,0.62771163,-0.768387831,0.442256808,0.558751796
RNGTT,1049.782223,0.831191954,0.346295218,2.400240922,0.016384284,0.035847208
MAN1A1,1184.434128,0.535744753,0.218076108,2.45668706,0.014022478,0.031218629
GABRR2,1420.072921,0.651712021,0.118402536,5.5042066,3.71E-08,2.51E-07
SERINC1,1057.281092,0.24083482,0.121062885,1.989336534,0.04666407,0.089097706
HDDC2,140.4443663,-2.564227927,0.502319151,-5.104778346,3.31E-07,1.91E-06
TPD52L1,0.5549861,-1.950984249,1.171780243,-1.664974521,0.095917839,0.163704814
HINT3,695.6316272,0.406418775,0.214649902,1.893403029,0.058304293,0.107903696
NCOA7,3547.35105,-0.55033192,0.170992731,-3.218452144,0.001288845,0.003696917
RIPOR2,1203.850791,-0.620678425,0.175972605,-3.527130962,0.000420089,0.001344625
SASH1,4253.97932,0.393168104,0.201408101,1.952096769,0.050926717,0.096069394
UST,2542.414915,0.41592891,0.240036941,1.732770413,0.083136484,0.145352278
LY6G5C,1106.423422,-0.120358482,0.150391582,-0.800300654,0.423536624,0.540641392
ULBP1,1704.333627,-0.738832661,0.239360011,-3.086700483,0.002023914,0.005555067
FBXO5,669.0237876,0.737257067,0.135925945,5.423961304,5.83E-08,3.81E-07
PPARD,3146.281296,0.887695456,0.141089595,6.291714526,3.14E-10,2.90E-09
OPRM1,3775.2077,0.727884539,0.127478854,5.709845341,1.13E-08,8.29E-08
FANCE,664.5550072,-1.063712904,0.15583273,-6.825991567,8.73E-12,1.00E-10
TULP1,2326.914929,0.109479509,0.193098373,0.566962357,0.570739757,0.676281315
SLC26A8,3.203907414,-1.304422692,0.583926107,-2.233883152,0.025490762,0.052960089
MAPK14,2089.68593,0.712843433,0.283870067,2.511160971,0.012033481,0.027214028
RHAG,2758.754706,0.213080382,0.206023672,1.034251939,0.301018399,0.4139157
KCTD20,1758.686778,-0.088681154,0.235265675,-0.376940472,0.706217844,0.789410045
STK38,4758.367707,1.683226906,0.142138433,11.84216588,2.36E-32,1.26E-30
SRSF3,19.75896749,4.756958447,0.615996385,7.722380464,1.14E-14,1.79E-13
SOD2,807.589161,0.213602002,0.114526647,1.865085615,0.062169405,0.113903775
MRPL18,181.9925832,6.652082104,0.361678655,18.39224408,1.52E-75,4.43E-73
IL17A,764.3775136,-4.72968149,0.697905719,-6.776963368,1.23E-11,1.38E-10
IL17F,0.744733149,0.875987345,1.149996037,0.761730751,0.446220718,0.562411386
MCM3,2267.162273,0.202213747,0.199298653,1.014626763,0.310283777,0.424095525
MDGA1,166.3509054,-1.58403186,0.351553539,-4.505805469,6.61E-06,3.03E-05
FBXO9,140.4418625,9.587040413,0.858796215,11.16334731,6.16E-29,2.57E-27
CD83,3990.663424,0.239790032,0.199398507,1.20256684,0.229143986,0.334456631
MDN1,139.0296748,9.149849109,0.793399241,11.53246517,9.05E-31,4.35E-29
GLP1R,833.9779024,0.508415453,0.102823295,4.944555154,7.63E-07,4.13E-06
SAYSD1,574.9308285,-1.457310948,0.280618859,-5.193203882,2.07E-07,1.23E-06
BMP5,376.5266506,0.272894991,0.148966509,1.831921768,0.066963077,0.121158401
BACH2,2198.270819,-0.651414111,0.156397307,-4.165123577,3.11E-05,0.000125642
RBM24,1.241093784,1.618837147,1.215948604,1.33133682,0.183078208,0.278984151
CAP2,5.122242512,-2.389854693,1.043872078,-2.289413371,0.022055346,0.046630113
ZNF451,7.003865853,-0.238861003,0.480734242,-0.496867046,0.619282812,0.717137341
BAG2,1762.735473,0.233595496,0.314239197,0.743368423,0.457258656,0.572861149
RAB23,4154.154393,0.612867683,0.161360609,3.7981245,0.000145795,0.000513082
FHL5,2300.455524,-0.176044127,0.138743769,-1.268843482,0.204496893,0.30468756
GPR63,3383.828841,-1.083255864,0.281340052,-3.850343578,0.000117952,0.000422365
KHDRBS2,1500.198037,2.936625281,0.184653463,15.90344008,6.00E-57,9.16E-55
FBXL4,2522.028018,-0.94585528,0.145164514,-6.515747232,7.23E-11,7.36E-10
CCNC,18424.08922,0.380472637,0.136320655,2.791012391,0.005254346,0.013081441
PRDM13,3427.103941,-0.503079471,0.117168387,-4.2936451,1.76E-05,7.44E-05
E2F3,2153.343609,-0.203741088,0.103475921,-1.968971015,0.04895642,0.092885928
PTP4A1,595.1809323,0.656312977,0.664576436,0.987565827,0.323365329,0.437987998
SIM1,4.426785708,-2.964840401,0.653063531,-4.53989583,5.63E-06,2.61E-05
ASCC3,31.14920549,5.267623249,0.891232226,5.910494585,3.41E-09,2.70E-08
HDGFL1,1.583878613,1.297705918,0.854154779,1.519286609,0.128690369,0.208954097
BVES,310.4219899,0.273563461,0.201701483,1.356278879,0.175010453,0.269356332
COL9A1,543.0903297,-1.541340224,0.216864341,-7.107393583,1.18E-12,1.50E-11
MED23,8170.520566,10.17473284,0.359188581,28.32699417,1.61E-176,3.93E-173
WASF1,3237.566904,0.303891782,0.080059738,3.795812874,0.00014716,0.000517237
GPLD1,8225.993899,-1.425384021,0.223253395,-6.384601762,1.72E-10,1.65E-09
ALDH5A1,1055.715952,0.185743108,0.203109997,0.914495156,0.360456722,0.476144907
CRYBG1,4432.153871,0.399154847,0.105330963,3.789530037,0.000150933,0.000529387
VNN1,1.802811545,4.249984925,0.936621835,4.537567634,5.69E-06,2.64E-05
VNN2,21.57966766,7.358808426,0.892478057,8.24536622,1.65E-16,3.05E-15
SMAP1,62.10193346,8.89122811,0.875676078,10.1535583,3.19E-24,1.00E-22
RPS12,15.95935255,6.924227312,0.897695789,7.713333847,1.23E-14,1.92E-13
C6orf62,20.1386172,-1.467208797,0.385578243,-3.805216777,0.00014168,0.000499477
B3GAT2,413.8799303,0.375222129,0.276606181,1.356521129,0.174933417,0.269284034
GMNN,2.652731839,3.001721543,0.990379159,3.03088117,0.002438412,0.006571388
EYA4,3.345764676,3.376930421,0.812215921,4.157675726,3.22E-05,0.000129381
NR2E1,1.217314014,-1.398706457,0.930253698,-1.503575271,0.132690762,0.21441474
SNX3,2293.702647,0.285791516,0.112343106,2.5439168,0.010961719,0.025080864
SLC17A2,372.4796666,0.151507609,0.21220041,0.713983579,0.475237333,0.589310082
HBS1L,494.8612588,2.161345028,0.338605837,6.383070785,1.74E-10,1.67E-09
TRIM38,3047.170721,0.193096456,0.174784603,1.104768112,0.269260081,0.379907462
PEX7,59.84996455,-4.032499914,0.581037427,-6.940172404,3.92E-12,4.68E-11
ZBTB24,2173.218531,-0.312228154,0.136904018,-2.280635425,0.022570029,0.047557391
PERP,2245.23872,0.375306583,0.080467286,4.664089003,3.10E-06,1.51E-05
ARFGEF3,850.5837803,-0.377482968,0.098075873,-3.848887152,0.000118656,0.000424488
SLC16A10,406.1179001,8.386927117,0.552763966,15.17270957,5.36E-52,6.73E-50
HECA,0.58000689,1.385918549,1.162082754,1.192616054,0.233019775,0.338855254
ADGRG6,5454.316362,-1.588344292,0.306633826,-5.179938273,2.22E-07,1.32E-06
PHACTR2,1082.480423,0.406256899,0.162415616,2.501341362,0.012372386,0.027914994
EPM2A,2199.537419,-0.129467135,0.12677113,-1.021266705,0.307128096,0.420766745
OR14J1,3.091657355,4.521800536,1.511045587,2.992497761,0.002767047,0.007370564
OR5V1,4889.165176,-0.56302581,0.159669998,-3.52618411,0.000421594,0.001348638
OR12D3,1511.583201,0.348410657,0.321291429,1.084406944,0.278184406,0.389513246
SLC39A7,3111.466677,0.148375158,0.11400331,1.30149868,0.193087816,0.291045037
HSD17B8,3810.018654,-0.148591829,0.117849554,-1.260860341,0.207359169,0.308241073
CCR6,5.786493166,1.183606008,0.803798452,1.472515908,0.140881614,0.225467634
TAPBP,1307.859281,0.226358114,0.082593648,2.740623753,0.006132268,0.015000781
UNC93A,1.854035387,-1.995884716,1.011133947,-1.973907337,0.04839228,0.092017434
SLC22A2,6659.683337,0.772526458,0.169174185,4.56645593,4.96E-06,2.33E-05
PHF1,8.881518065,5.565221654,0.939642406,5.922701678,3.17E-09,2.52E-08
CUTA,1133.190969,0.454548728,0.260548042,1.744587008,0.081056784,0.142429712
PACRG,229.8152882,-2.78923606,0.579835693,-4.810390416,1.51E-06,7.76E-06
QKI,907.0620362,0.589849423,0.096301262,6.125043531,9.07E-10,7.82E-09
C6orf118,1858.47151,0.278474634,0.172229517,1.616881008,0.105903969,0.177601451
PDE10A,0.53136632,-1.915353124,1.189918979,-1.609650033,0.107474279,0.17980849
TFEB,6868.733838,2.41068669,0.156807354,15.37355635,2.46E-53,3.28E-51
CCND3,4062.520874,0.081055539,0.149336162,0.542772347,0.587286555,0.690438728
FAM120B,7.994310673,4.945258184,0.828424524,5.969473432,2.38E-09,1.93E-08
TBP,4667.018391,-0.248917723,0.114641655,-2.171267709,0.029910942,0.060845254
GUCA1B,1.787944005,-1.49532845,0.876542139,-1.705940175,0.088019219,0.15235273
PRPH2,4944.011044,0.214102023,0.068108897,3.143525044,0.001669261,0.004666569
BICRAL,3402.979437,-0.650804558,0.141848869,-4.588013736,4.47E-06,2.12E-05
PPP2R5D,43.38109694,2.511454558,0.900136681,2.79008134,0.00526948,0.013114652
MRPL2,1313.692925,0.281614153,0.202630107,1.389794228,0.164591371,0.255972658
PTK7,3362.291261,0.138565427,0.076193277,1.818604382,0.068971809,0.124317174
SRF,1122.343102,-0.065848992,0.094527451,-0.696612373,0.48604541,0.599322851
CUL9,2382.232895,0.269542036,0.258810971,1.041462945,0.297660742,0.410214128
DUSP22,576.4292261,-0.355887941,0.204462262,-1.740604534,0.081752922,0.143373584
COX7A2,1680.329559,-0.433351601,0.315726399,-1.372554217,0.169890973,0.262718598
TMEM30A,1118.793161,0.143756559,0.096931893,1.483067684,0.138056429,0.221765001
GMDS,371.3880534,-0.242801868,0.15258969,-1.591207562,0.111562872,0.185612674
SENP6,3867.736001,0.297911396,0.144124325,2.067044517,0.038729959,0.07602841
IMPG1,519.0619046,1.004620111,0.234339686,4.287025074,1.81E-05,7.65E-05
PRPF4B,3260.939552,-0.296980812,0.197270853,-1.505446996,0.132209194,0.213777972
TTK,8.333871667,4.58778772,0.911150684,5.035158069,4.77E-07,2.68E-06
SLC29A1,2135.175058,0.718513089,0.251127085,2.86115331,0.004221029,0.01076038
CCN6,6610.56404,-0.12076143,0.170351364,-0.70889617,0.478388912,0.592070721
BTN2A1,2185.604169,0.497910643,0.183842826,2.708349591,0.006761875,0.016348955
LAMA4,6522.585981,1.315276903,0.135146573,9.732225347,2.20E-22,6.06E-21
TENT5A,13.45860214,4.114776972,0.566893795,7.258461827,3.92E-13,5.27E-12
FBRSL1,4092.085128,0.32516338,0.125987121,2.580925559,0.009853583,0.022802478
ENPP5,405.7078842,-0.538491901,0.179495336,-3.000032825,0.002699505,0.007212816
LY86,761.752046,11.57627013,0.943683127,12.26711573,1.36E-34,8.12E-33
PRSS16,1021.473522,1.518495106,0.340288246,4.462378947,8.11E-06,3.66E-05
MEP1A,2.061734484,4.427874315,0.97057754,4.562102597,5.06E-06,2.37E-05
ERBIN,846.0754018,-0.27367103,0.073584794,-3.719124754,0.000199914,0.000683698
PCDHB2,85.52146931,-3.387673949,0.585775025,-5.783233843,7.33E-09,5.53E-08
HARS2,605.6486109,-1.598604959,0.359855469,-4.44235283,8.90E-06,3.99E-05
CEP72,9300.543192,-0.739502659,0.145851593,-5.070240549,3.97E-07,2.26E-06
SEMA5A,647.4828106,-0.093499627,0.120379037,-0.776710207,0.437329764,0.553959279
C7,563.9456623,-0.1540317,0.093614551,-1.64538203,0.099891053,0.169303239
TENT4A,2856.687906,0.057321747,0.102620905,0.558577677,0.576449978,0.681313492
GHR,485.8999011,-0.464335041,0.135340279,-3.43087103,0.000601647,0.001862962
DAP,0.578520804,-1.709626506,1.207753981,-1.415542017,0.156909638,0.246006045
NME5,615.4338054,0.49494518,0.267979368,1.846952557,0.064754016,0.117756943
BRD8,1.243344685,0.488753396,1.195700609,0.408759009,0.682716524,0.770443682
KIF20A,2.771175136,2.386281901,0.827557973,2.883522337,0.003932548,0.010119043
NNT,232.2007053,1.773666517,0.221807164,7.996434748,1.28E-15,2.20E-14
MRPS30,1279.153427,-0.287625312,0.118724803,-2.422621934,0.015408954,0.033959342
HSPA9,0.514414087,-1.739738024,1.729224713,-1.006079783,0.314377193,0.428557
MRPS27,1279.128762,0.967229505,0.322460784,2.999525995,0.002704,0.00722052
PFDN1,1660.474574,0.68404212,0.120043227,5.698298346,1.21E-08,8.83E-08
HBEGF,1893.313978,0.228373027,0.117717694,1.94000595,0.052378967,0.098449598
SLC4A9,518.4955766,0.939739744,0.146243249,6.425867498,1.31E-10,1.28E-09
LOX,3150.781938,0.268178105,0.129659727,2.068322306,0.038609726,0.075820078
GZMK,1924.05957,-0.214147943,0.079454054,-2.695242508,0.007033742,0.016939222
CDH9,2719.720886,0.614446379,0.222239068,2.764799123,0.005695786,0.014059755
APBB3,1528.933069,0.897468628,0.127884114,7.017827335,2.25E-12,2.76E-11
TMCO6,1862.053702,0.183886833,0.193078184,0.952395707,0.340896336,0.45649213
IK,82.85819093,9.790682573,1.029842061,9.506974852,1.96E-21,5.17E-20
HMGCR,2385.125193,-0.577857087,0.161577204,-3.576352811,0.000348421,0.001132633
CERT1,0.949607473,1.997363719,1.067586355,1.870915368,0.061356813,0.112676164
FAF2,1280.252267,0.530749186,0.116901966,4.540121985,5.62E-06,2.61E-05
HAND1,1838.235537,-0.722143856,0.194437404,-3.71401716,0.000203995,0.000696413
PCDHB3,1105.426939,-0.337493407,0.182936374,-1.844867699,0.065056786,0.118178727
PCDHB5,601.2858356,0.345039983,0.178782668,1.929940904,0.05361416,0.100350115
PCDHB6,146.6907728,-3.776982645,0.466860564,-8.090172823,5.96E-16,1.05E-14
PDE8B,1907.063178,0.556781921,0.124687906,4.46540436,7.99E-06,3.61E-05
PCDHB15,16.57569996,3.372926293,0.646304774,5.218785983,1.80E-07,1.09E-06
GRM6,407.4948833,3.612909114,0.429109836,8.419543931,3.78E-17,7.38E-16
ITK,11.72212856,1.088290049,0.4494373,2.421450217,0.015458718,0.034057845
RNF130,2513.676892,0.388430523,0.19784999,1.963257728,0.049616235,0.093940164
THG1L,1553.623275,0.308329476,0.519140125,0.593923415,0.552563337,0.65998165
ARSB,1655.988511,-0.101388105,0.084845583,-1.194972108,0.232097928,0.337795815
CLINT1,2751.325219,-0.082506393,0.194336033,-0.424555301,0.671160884,0.761238186
THBS4,6370.152505,-0.54123613,0.130605964,-4.144038414,3.41E-05,0.000136548
CNOT6,0.471881964,2.301258996,1.228792399,1.87278095,0.06109864,0.112294135
IL12B,6847.282937,-0.104550683,0.124108528,-0.842413365,0.399556615,0.516383787
BTNL8,5043.201617,0.438496284,0.114729048,3.822016235,0.000132365,0.000468913
TTC1,1.871982294,-0.599508274,0.795192433,-0.75391597,0.450899681,0.566687463
MSH3,33.45176322,-2.764017742,0.352483019,-7.84156283,4.45E-15,7.30E-14
RASGRF2,835.3976345,0.967152518,0.165972888,5.827171723,5.64E-09,4.32E-08
GABRG2,406.4955753,-0.071811293,0.095097328,-0.75513471,0.450168159,0.566165252
CCNG1,11749.53204,-0.055715241,0.13539492,-0.411501706,0.680704691,0.768857687
DROSHA,309.3199792,9.629968328,0.712744251,13.5111133,1.34E-41,1.14E-39
CDH6,8820.906723,-0.426222882,0.142519495,-2.990628624,0.002784039,0.007412885
LMNB1,124.9264326,3.631373722,0.365062754,9.947258868,2.59E-23,7.66E-22
ARRDC3,610.0492203,2.767449487,0.195575339,14.15029878,1.86E-45,1.89E-43
GOLPH3,1384.214091,1.752823781,0.144211944,12.15449794,5.43E-34,3.12E-32
SUB1,362.4109037,10.9668245,0.862893311,12.70936321,5.25E-37,3.58E-35
NPR3,1.325932961,2.478006512,1.103493968,2.245600415,0.024729614,0.051590098
FAM172A,346.5167253,0.34856183,0.271255741,1.284993377,0.198794598,0.297942448
SLC27A6,3472.685625,-1.392110035,0.202073723,-6.889119564,5.61E-12,6.58E-11
TARS1,0.879209602,1.219008422,1.070965669,1.138232959,0.25502322,0.364063426
IRX4,1469.961747,0.230700697,0.118067794,1.953968048,0.050704996,0.095711601
PDE4D,1829.606834,-0.393762055,0.079621272,-4.945437898,7.60E-07,4.11E-06
RAD1,392.8571989,1.076854392,0.403444041,2.669154291,0.007604251,0.018129581
BRIX1,39.74742383,-0.312289784,0.355652738,-0.878075017,0.37990301,0.496237709
AGXT2,1419.378457,-1.476805013,0.226432931,-6.522041676,6.94E-11,7.07E-10
PRLR,2.124110232,-0.489623538,0.787868144,-0.621453655,0.534301178,0.643777343
SLC12A7,3805.782751,0.280801528,0.130432694,2.15284618,0.031330769,0.063373709
RAD50,471.8444977,-2.617287044,0.497802107,-5.257685747,1.46E-07,8.94E-07
IL5,1117.721738,-1.120953054,0.209378834,-5.353707586,8.62E-08,5.48E-07
ST8SIA4,248.6072045,10.89290186,0.937284253,11.62176983,3.19E-31,1.58E-29
