gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PER3,1942.755324,-0.211196826,0.149479307,-1.412883362,0.157690022,0.247070992
UTS2,1395.600431,9.866837544,0.438309639,22.51111239,3.23E-112,2.71E-109
TNFRSF9,4358.696002,0.598642233,0.147628033,4.055071513,5.01E-05,0.000194329
EPN3,1178.434247,-0.207590715,0.184553918,-1.124824213,0.260663532,0.370266492
LTBP1,13.55096021,0.574395362,0.512638305,1.120469064,0.262513928,0.372324219
RCN1,464.3644474,-0.88276248,0.187279793,-4.713602387,2.43E-06,1.21E-05
ELN,6256.854949,0.04661969,0.070872955,0.657792384,0.510671549,0.622196455
RFC2,491.0530959,-0.915135025,0.229692814,-3.984169156,6.77E-05,0.000255556
CLPTM1L,1268.84211,0.209331233,0.088977501,2.352631059,0.018641119,0.040179776
NEDD4L,1691.483296,8.013969585,0.314399659,25.48975277,2.56E-143,3.62E-140
FOXP3,502.3288131,10.99748348,0.795153592,13.83064051,1.67E-43,1.54E-41
PPP1R3F,1926.491548,1.268846576,0.255132903,4.973276913,6.58E-07,3.60E-06
HEXB,1729.626614,0.322057821,0.109798953,2.933159313,0.003355317,0.008767213
PTCD2,8082.512872,-0.880305844,0.209477673,-4.20238506,2.64E-05,0.000108233
NEXMIF,1093.456612,-0.402338192,0.085705762,-4.694412423,2.67E-06,1.32E-05
JKAMP,146.1122334,1.655415432,0.150517887,10.99813098,3.90E-28,1.54E-26
DKK3,533.229033,2.47892532,0.140611777,17.62957112,1.46E-69,3.33E-67
ARHGEF5,1.073104168,0.972716708,1.354222413,0.718284307,0.472582004,0.587128139
NFE2L3,0.480785288,1.554712677,1.187160886,1.309605711,0.190329255,0.287612933
