	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS	GO_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS	GO_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS	64	-0.509564787848589	-1.13303321092567	0.284940411700975	0.836466724530567	0.761566815776939	2299	tags=31%, list=15%, signal=27%	CD74/PTGS2/PTGIS/PTGS1/ELOVL2/PDPN/FCER1A/SYK/ALOX15B/CYP2J2/TBXAS1/ALOX5AP/HPGDS/CYP1B1/ALOX5/PLA2G5/LTC4S/FAAH2/DPEP1
GO_SECRETORY_GRANULE	GO_SECRETORY_GRANULE	GO_SECRETORY_GRANULE	202	-0.47784983764478	-1.13265310067555	0.187939698492462	0.715446534889259	0.651383161404344	3331	tags=37%, list=22%, signal=29%	CD36/PDGFA/ICA1/FAM3C/PAM/PLA2G4A/CFD/VAMP1/VAMP8/TBXA2R/AKAP3/SLC11A1/SCG2/THBS1/TGFB3/ANGPTL6/SERPINE1/RPH3A/SERPING1/CASC5/THBS2/RPH3AL/SKIL/BRCA2/PHACTR2/PTPRN/F13A1/CPE/SYTL4/TF/SRGN/ITGA1/ADAM8/VEGFC/SEPP1/ITGB2/NCF2/FAS/SERPINA1/IGF1/CLU/ITGB3/MYRIP/ATP8A1/CATSPER3/MMRN1/POMC/PTPRN2/SERPINA3/SPAG8/EGF/LAMP3/ACPP/SPESP1/SELP/IL1B/IQUB/SCG3/CHGB/CUZD1/SCG5/PCSK1/SERPINA5/ITIH3/NAPSA/PLA2G2A/MPO/ACRBP/CRHBP/F5/DBH/TREML1/GHRL
GO_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	GO_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	GO_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	18	-0.592245340454049	-1.13188398340338	0.346784363177806	0.893814825600932	0.81377978425757	3328	tags=50%, list=22%, signal=39%	FLT1/NEDD4/VEGFC/HHEX/ITGB3/PRKCB/FGF18/IL1B
GO_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM	GO_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM	GO_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM	21	-0.575441905015412	-1.1316713877009	0.332503113325031	0.881790742343331	0.80283237591414	2894	tags=43%, list=19%, signal=35%	SERPINE1/CD4/IL23A/TREM1/TLR4/IL6/SELP/TLR9
GO_LYSOSOMAL_LUMEN	GO_LYSOSOMAL_LUMEN	GO_LYSOSOMAL_LUMEN	61	-0.509974636664795	-1.1315242429088	0.281995661605206	0.829898204122155	0.755586461717299	2917	tags=23%, list=19%, signal=19%	NAAA/IFI30/CD74/HPSE/LUM/VCAN/GPC4/CSPG5/FMOD/OMD/GPC6/OGN/FASLG
GO_REGULATION_OF_CHROMATIN_SILENCING	GO_REGULATION_OF_CHROMATIN_SILENCING	GO_REGULATION_OF_CHROMATIN_SILENCING	13	-0.622400358387038	-1.13137483588796	0.344549125168237	0.892900278614564	0.812947128736602	4108	tags=46%, list=27%, signal=34%	ATAD2B/ASF1A/SIRT1/MIER1/POU5F1
GO_NEURON_PROJECTION_MEMBRANE	GO_NEURON_PROJECTION_MEMBRANE	GO_NEURON_PROJECTION_MEMBRANE	19	-0.58792228985662	-1.13128443800474	0.343434343434343	0.892900278614564	0.812947128736602	923	tags=47%, list=6%, signal=45%	SGCE/ADORA1/NGFR/UNC5A/AKAP5/SLC1A2/KCNJ11/ITGA8
GO_NEGATIVE_REGULATION_OF_LYASE_ACTIVITY	GO_NEGATIVE_REGULATION_OF_LYASE_ACTIVITY	GO_NEGATIVE_REGULATION_OF_LYASE_ACTIVITY	12	-0.627186640215925	-1.13128053111777	0.332443257676903	0.881790742343331	0.80283237591414	1557	tags=25%, list=10%, signal=22%	AKAP5/P2RY13
GO_NEGATIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS	GO_NEGATIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS	GO_NEGATIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS	32	-0.550616600360561	-1.13087434385114	0.309723889555822	0.853542960263178	0.777113990686544	2777	tags=31%, list=18%, signal=26%	CBFA2T3/EDNRA/AKAP6/DRD4/FBP1/LPAR1/AKAP5/P2RY13/MLXIPL
GO_PHOSPHATIDYLINOSITOL_PHOSPHATE_BINDING	GO_PHOSPHATIDYLINOSITOL_PHOSPHATE_BINDING	GO_PHOSPHATIDYLINOSITOL_PHOSPHATE_BINDING	84	-0.499182411770545	-1.13060762448842	0.267232237539767	0.81719095961672	0.744017064571543	2625	tags=20%, list=17%, signal=17%	FCHO2/IQGAP2/RPH3A/KCNQ1/ARAP2/ADAP2/NCF4/BTK/PLCB1/PLEK/ARHGAP9/FGD2/NCF1/DAPP1/SNX20/GAP43
