	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION	GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION	GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION	201	0.420418909411701	1.26918454643339	0.0448807854137447	0.276108003580757	0.241415716807879	2260	tags=27%, list=15%, signal=23%	VIT/ITGA2B/NDNF/ITGA8/COL4A6/MMP16/COL4A5/COL9A3/MATN4/ITGA10/NOXO1/FGF2/ACAN/MATN3/ICAM5/MPZL3/COL8A1/COL13A1/FBN2/ADAMTS5/ITGB3/KAZALD1/TGFB2/TPSAB1/EGFLAM/SFRP2/LAMA2/PDGFA/ITGA2/KLKB1/VCAN/ITGA1/ADAMTS4/NID1/LOX/JAM3/MFAP5/POSTN/MFAP2/ITGA4/COL11A1/LAMA4/HAS3/ELN/JAM2/ECM2/THSD4/CSGALNACT1/FMOD/COL7A1/TGFBI/NID2/CD36/SPP1
GO_MAINTENANCE_OF_LOCATION_IN_CELL	GO_MAINTENANCE_OF_LOCATION_IN_CELL	GO_MAINTENANCE_OF_LOCATION_IN_CELL	71	0.478619883414471	1.2694132490543	0.113782051282051	0.470566474641365	0.411440962623434	1292	tags=13%, list=8%, signal=12%	PFN4/GRIK5/SHANK1/ANK3/MDFI/DZIP1/SPTBN4/SORL1/ATP2A1
GO_EXCITATORY_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	GO_EXCITATORY_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	GO_EXCITATORY_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	21	0.58246787739654	1.26967368705017	0.179401993355482	0.586429635661999	0.51274620443705	763	tags=24%, list=5%, signal=23%	GLRB/GRIK3/GRIK5/GRIN2A/CHRNB2
GO_CELLULAR_RESPONSE_TO_RETINOIC_ACID	GO_CELLULAR_RESPONSE_TO_RETINOIC_ACID	GO_CELLULAR_RESPONSE_TO_RETINOIC_ACID	37	0.530272172646495	1.26968337345707	0.140983606557377	0.526054888060674	0.45995739433287	787	tags=19%, list=5%, signal=18%	HOXA2/WNT3/TESC/EPHA3/LTK/NTRK3/ALDH1A2
GO_MAIN_AXON	GO_MAIN_AXON	GO_MAIN_AXON	37	0.530784371899553	1.27090978304266	0.139344262295082	0.522997825328214	0.45728444396087	1789	tags=35%, list=12%, signal=31%	KCNA2/KCNJ11/ANK3/SPTBN4/ROBO2/SLC1A2/ADORA1/DNM1/NFASC/DLG4/UCN/DAGLA/KCNAB1
GO_VASCULATURE_DEVELOPMENT	GO_VASCULATURE_DEVELOPMENT	GO_VASCULATURE_DEVELOPMENT	331	0.404500579111282	1.2714105177588	0.0236220472440945	0.197298736234483	0.172508638705234	3253	tags=29%, list=21%, signal=23%	TMEM100/BMPER/HOXB13/NDNF/GPLD1/EYA1/MEOX2/ANGPT1/DLX3/PROX1/HOXA3/FGF2/ESM1/STRA6/NRXN3/SLIT2/EGF/CDH2/HOXA7/ALDH1A2/COL8A1/GPC3/EPHB3/SRPX2/ITGB3/PTGS2/LIF/TGFB2/SCG2/ERRFI1/FGF18/FZD8/SFRP2/E2F8/CCBE1/PRRX1/ENPEP/PDGFA/NTRK2/TSPAN12/PAX6/EPHB1/EDNRA/ANGPT2/FOXH1/CDH13/LOX/JAM3/ZFPM2/ADM2/HOXB3/PPAP2B/PRICKLE1/VEGFA/SMO/FAP/MESP1/ECSCR/LTBP1/ROM1/EFNB2/TGFBI/CALCRL/HOXA1/TAL1/FLT1/ELK3/KLF5/LEPR/AHR/PLXDC1/HIF3A/NEDD4/NRP1/SGCB/VASH1/ITGB8/HHEX/SERPINE1/MEIS1/JAG1/EGR3/PGF/SEMA5A/LOXL2/RASA1/CSPG4/PIK3CA/ID1/RAMP2/KRIT1/WNT2/RECK/GPR4/GLMN/MIB1
GO_TRANSCRIPTIONAL_ACTIVATOR_ACTIVITY_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_BINDING	GO_TRANSCRIPTIONAL_ACTIVATOR_ACTIVITY_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_BINDING	GO_TRANSCRIPTIONAL_ACTIVATOR_ACTIVITY_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_BINDING	182	0.422771827077244	1.27144639152224	0.0493653032440056	0.291839714644033	0.255170777341082	2293	tags=24%, list=15%, signal=20%	SOX11/DLX2/EBF2/MEOX2/ZIC1/DLX3/HOXC13/SIX4/SOX2/HOXB5/SIX2/HOXA5/TFAP2C/NHLH1/HOXA7/EHF/DLX5/GLI2/EBF3/MSX1/NFATC2/FOXD1/PAX6/PLAGL1/ZGLP1/AR/EBF1/FOXH1/EBF4/NR6A1/POU3F2/PGR/PLAG1/ETV1/TCF4/MESP1/PAX9/BACH1/NR4A2/HOXD8/ELK3/PAX8/KLF5
GO_MEIOSIS_I	GO_MEIOSIS_I	GO_MEIOSIS_I	49	0.499798343160034	1.27160366072159	0.130708661417323	0.509167183977521	0.445191588439521	2582	tags=20%, list=17%, signal=17%	FMN2/HFM1/DMC1/SYCP2/SYCE1L/CCNA1/BRCA2/XRCC2/FANCM/CNTD1
GO_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_DEHYDROGENASE	GO_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_DEHYDROGENASE	GO_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_DEHYDROGENASE	15	0.621234515919556	1.27174907404602	0.203672787979967	0.619787924434463	0.541913106848602	268	tags=7%, list=2%, signal=7%	ACOX2
GO_G_PROTEIN_COUPLED_AMINE_RECEPTOR_ACTIVITY	GO_G_PROTEIN_COUPLED_AMINE_RECEPTOR_ACTIVITY	GO_G_PROTEIN_COUPLED_AMINE_RECEPTOR_ACTIVITY	11	0.66638894261643	1.27187481356825	0.180579216354344	0.587725207756233	0.513878991106575	2189	tags=55%, list=14%, signal=47%	ADRA1D/HTR1F/HTR7/ADRA1B/HRH1/ADRA2B
