	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS	GO_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS	GO_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS	37	0.799373172671164	1.60047059689854	0.00131752305665349	0.0328711484593837	0.0287630841810408	1613	tags=46%, list=11%, signal=41%	CD3G/PRKCQ/HSH2D/CD274/IL10/CD27/RORC/BTK/RIPK3/DOCK8/GIMAP8/ADAM8/JAK3/LYN/CD74/NFKBID/FAS
GO_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY	10	0.952527176561444	1.60095458202169	0.00159489633173844	0.0341846729734257	0.0299124512686536	632	tags=80%, list=4%, signal=77%	P2RY10/GPR171/P2RY12/P2RY13/P2RY14/P2RY8/GPR34/P2RY6
GO_GRANULOCYTE_MIGRATION	GO_GRANULOCYTE_MIGRATION	GO_GRANULOCYTE_MIGRATION	45	0.782163644272571	1.60135475441105	0.00129198966408269	0.0328711484593837	0.0287630841810408	1464	tags=49%, list=10%, signal=44%	XCL2/XCL1/CCL22/PIK3CG/CCL3L1/CCL17/VAV1/CCL13/AMICA1/NCKAP1L/CSF3R/IL1B/CCL3/CCL14/DAPK2/ITGB2/FCER1G/SYK/C5AR1/CCL18/CCL2/VAV3
GO_REGULATION_OF_NEUTROPHIL_MIGRATION	GO_REGULATION_OF_NEUTROPHIL_MIGRATION	GO_REGULATION_OF_NEUTROPHIL_MIGRATION	22	0.848694751048363	1.60241277591258	0.00284495021337127	0.0513847837985769	0.0449629821680638	1648	tags=68%, list=11%, signal=61%	XCL1/CCL19/CCR7/CCL21/PTGER4/IL23A/NCKAP1L/CXCL2/IL1B/C3AR1/DAPK2/ADAM8/C5AR1/CD74/SLIT2
GO_REGULATION_OF_PROTEIN_KINASE_B_SIGNALING	GO_REGULATION_OF_PROTEIN_KINASE_B_SIGNALING	GO_REGULATION_OF_PROTEIN_KINASE_B_SIGNALING	81	0.727670121221766	1.60295303461048	0.0023094688221709	0.046327549791753	0.0405377748273093	1502	tags=20%, list=10%, signal=18%	BANK1/TNFSF11/CCL19/CCR7/TNF/CCL21/PIK3CG/CD28/CCL3/PIK3R5/IL6/HCLS1/ADAM8/TNFAIP8L3/HPSE/NOX4
GO_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	GO_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	GO_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	27	0.826566092517133	1.60321737825619	0.00276625172890733	0.0509912552278529	0.0446186347406728	1174	tags=44%, list=8%, signal=41%	XCL1/CCL19/CD80/PRKCQ/IL12RB1/SASH3/CD86/IL23A/NCKAP1L/MYB/IL6/JAK3
GO_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GO_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GO_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	41	0.791034290709008	1.60352351257149	0.00130039011703511	0.0328711484593837	0.0287630841810408	2044	tags=51%, list=13%, signal=44%	XCL1/SLAMF1/FFAR3/TNF/IL10/LILRB1/SASH3/BTK/RSAD2/TLR3/FCER1G/TLR4/JAK3/CD74/TNFSF4/FFAR2/IRAK3/F2RL1/HFE/B2M/HMOX1
GO_POSITIVE_REGULATION_OF_NF_KAPPAB_IMPORT_INTO_NUCLEUS	GO_POSITIVE_REGULATION_OF_NF_KAPPAB_IMPORT_INTO_NUCLEUS	GO_POSITIVE_REGULATION_OF_NF_KAPPAB_IMPORT_INTO_NUCLEUS	17	0.889556815788975	1.60587225160018	0.00149925037481259	0.0330398181191095	0.0289106743885285	1399	tags=71%, list=9%, signal=64%	CCL19/PRKCQ/TNF/CD27/IL18R1/TLR9/IL18/IL23A/IL1B/TLR3/TLR4/TLR2
GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	52	0.76315716713835	1.60595497781021	0.00123609394313968	0.0328711484593837	0.0287630841810408	2193	tags=65%, list=14%, signal=56%	HLA-DQA2/CIITA/IRF8/FCGR1B/OASL/HCK/GBP1/VCAM1/HLA-G/TRIM22/IRF1/HLA-DRB5/IRF5/HLA-DRA/GBP2/HLA-DRB1/HLA-F/OAS1/OAS2/IFI30/JAK2/TRIM34/TRIM21/STAT1/HLA-H/IRF7/OAS3/HLA-C/B2M/HLA-E/IRF2/IRF9/ICAM1/SP100
GO_RESPONSE_TO_TYPE_I_INTERFERON	GO_RESPONSE_TO_TYPE_I_INTERFERON	GO_RESPONSE_TO_TYPE_I_INTERFERON	43	0.790040307026072	1.60648586280953	0.0012970168612192	0.0328711484593837	0.0287630841810408	2349	tags=74%, list=15%, signal=63%	IRF8/OASL/RSAD2/HLA-G/IRF1/XAF1/IRF5/GBP2/ISG20/SAMHD1/IFI27/HLA-F/OAS1/OAS2/IFIT2/IFIT1/IFIT3/IFI35/STAT1/MX1/PSMB8/HLA-H/IFITM1/IRF7/OAS3/HLA-C/HLA-E/IRF2/IRF9/SP100/IFI6/IKBKE
