	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO_NUCLEOTIDE_TRANSPORT	GO_NUCLEOTIDE_TRANSPORT	GO_NUCLEOTIDE_TRANSPORT	20	0.201074845982435	0.504140788174555	0.971590909090909	1	0.915390307895858	12210	tags=100%, list=80%, signal=20%	GJB1/SLC25A23/P2RX7/SLC35C2/SLC35B1/SLC35A2/SLC25A17/SLC35C1/SLC25A33/SLC35E3/SLC35D2/SLC25A19/SLC35B4/SLC35B3/SLC25A36/SLC25A42/SLC35A1/SLC35D1/SLC25A24/SLC35A3
GO_DNA_POLYMERASE_COMPLEX	GO_DNA_POLYMERASE_COMPLEX	GO_DNA_POLYMERASE_COMPLEX	12	0.225664876195467	0.503048238279329	0.974025974025974	1	0.915390307895858	11833	tags=100%, list=77%, signal=23%	POLD1/POLE4/POLE2/POLG/MAD2L2/POLE3/POLD4/POLD3/CHRAC1/REV3L/CRCP/DNA2
GO_VACUOLE_FUSION	GO_VACUOLE_FUSION	GO_VACUOLE_FUSION	21	0.198138559349807	0.502628258023897	0.988439306358382	1	0.915390307895858	12255	tags=100%, list=80%, signal=20%	VPS33B/WIPI2/CLN3/SNAPIN/SNAP29/VPS16/VTI1B/CHMP3/TECPR1/VPS39/VPS33A/TSG101/LIX1L/STX17/VPS41/KIAA0226/VAMP7/UVRAG/SNX14/EEA1/VAMP8
GO_BASE_EXCISION_REPAIR	GO_BASE_EXCISION_REPAIR	GO_BASE_EXCISION_REPAIR	31	0.185085590607988	0.502059382446341	1	1	0.915390307895858	12456	tags=100%, list=82%, signal=19%	NTHL1/LIG1/NEIL2/UNG/SMUG1/POLD1/MUTYH/LIG3/MPG/HMGA1/APEX2/SIRT6/POLG/XRCC1/APEX1/POLB/RPA3/PARP2/RPA2/HMGB1/PRMT6/ERCC6/USP47/TDG/XPA/POLQ/MBD4/NEIL3/WRN/DNA2/NEIL1
GO_UTP_METABOLIC_PROCESS	GO_UTP_METABOLIC_PROCESS	GO_UTP_METABOLIC_PROCESS	10	0.232443321631578	0.500641086442132	0.976653696498054	1	0.915390307895858	3093	tags=40%, list=20%, signal=32%	NME2P1/NME4/NME2/CAD
GO_ATPASE_ACTIVATOR_ACTIVITY	GO_ATPASE_ACTIVATOR_ACTIVITY	GO_ATPASE_ACTIVATOR_ACTIVITY	12	0.223503209747151	0.498229488827016	0.974025974025974	1	0.915390307895858	11866	tags=100%, list=78%, signal=22%	RAB3A/DNAJB1/AHSA1/ATP1B3/RAB4A/DNAJC1/DNAJC7/DNAJC24/DNAJC10/DNAJC2/AHSA2/ATP1B2
GO_S_ADENOSYLMETHIONINE_METABOLIC_PROCESS	GO_S_ADENOSYLMETHIONINE_METABOLIC_PROCESS	GO_S_ADENOSYLMETHIONINE_METABOLIC_PROCESS	13	0.218440675601344	0.496887405931765	0.962085308056872	1	0.915390307895858	2629	tags=31%, list=17%, signal=25%	PEMT/OCLN/AHCY/GAMT
GO_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION	GO_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION	GO_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION	11	0.224536582170695	0.49429772310507	0.983606557377049	1	0.915390307895858	11850	tags=100%, list=78%, signal=22%	TFAP4/SMARCA4/TAF11/SMARCB1/SNW1/EP300/LEF1/JUN/SP1/CHD1/HPN
GO_NUCLEOTIDE_EXCISION_REPAIR	GO_NUCLEOTIDE_EXCISION_REPAIR	GO_NUCLEOTIDE_EXCISION_REPAIR	96	0.151034119351864	0.492042933011883	1	1	0.915390307895858	12985	tags=100%, list=85%, signal=15%	HUS1B/NTHL1/POLR2I/POLR2L/LIG1/NEIL2/POLD2/GTF2H4/POLR2E/UBB/POLD1/PNKP/POLR2A/GPS1/DDB1/COPS7A/MMS19/COPS8/LIG3/CETN2/POLR2F/UBE2I/POLR2J/PRPF19/UBA52/RBX1/GTF2H5/XRCC1/POLR2G/XAB2/POLL/POLR2H/RAD51D/RFC2/RAD23B/ERCC1/HUS1/PPIE/POLB/PARP1/RFC5/PCNA/UBE2N/COPS6/CUL4A/RPS27A/POLR2C/RPA3/USP7/SUMO3/EP300/POLR2D/ERCC3/COPS7B/RPA2/POLR2B/XPC/POLR2K/POLD4/POLD3/UBC/SUMO2/ZNF830/ATXN3/ERCC8/GTF2H1/RFC4/COPS5/COPS3/RFC3/ERCC5/CCNH/SLC30A9/COPS4/HMGN1/SUMO1/FAN1/UBE2V2/ISY1/ERCC6/TCEA1/MNAT1/XPA/RNF111/AQR/COPS2/GTF2H2/GTF2H2C/USP45/NEIL3/GTF2H3/LIG4/SIRT1/POLK/NEIL1/BRCA2
GO_NEGATIVE_REGULATION_OF_TOR_SIGNALING	GO_NEGATIVE_REGULATION_OF_TOR_SIGNALING	GO_NEGATIVE_REGULATION_OF_TOR_SIGNALING	23	0.191082677122633	0.491608264573951	0.968944099378882	1	0.915390307895858	1249	tags=13%, list=8%, signal=12%	SH3BP4/EPM2A/TBC1D7
