"B3_TKR181100057_sc1" "B3_TKR181100057_sc2" "B3_TKR181100057_sc3" "B3_TKR181100057_sc4" "B3_TKR181100057_sc5" "B3_TKR181100057_sc6" "B3_TKR181100057_sc7" "B3_TKR181100057_sc9" "B3_TKR181100057_sc10" "B3_TKR181100057_sc11" "B3_TKR181100057_sc12" "B3_TKR181100057_sc13" "B3_TKR181100057_sc14" "B3_TKR181100057_sc15" "B3_TKR181100057_sc16" "B3_TKR181100057_sc17" "B3_TKR181100057_sc18" "B3_TKR181100057_sc20" "B3_TKR181100057_sc21" "B3_TKR181100057_sc24" "B3_TKR181100057_sc25" "B3_TKR181100057_sc26" "B3_TKR181100057_sc27" "B3_TKR181100057_sc28" "B3_TKR181100057_sc29" "B3_TKR181100057_sc30" "B3_TKR181100057_sc32" "B3_TKR181100057_sc33" "B3_TKR181100057_sc35" "B3_TKR181100057_sc36" "B3_TKR181100057_sc37" "B3_TKR181100057_sc38" "B3_TKR181100057_sc40" "B3_TKR181100057_sc41" "B3_TKR181100057_sc42" "B3_TKR181100057_sc43" "B3_TKR181100057_sc46" "B3_TKR181100057_sc47" "B3_TKR181100057_sc48" "YS8_TKR181100059_sc49" "YS8_TKR181100059_sc50" "YS8_TKR181100059_sc51" "YS8_TKR181100059_sc52" "YS8_TKR181100059_sc53" "YS8_TKR181100059_sc54" "YS8_TKR181100059_sc55" "YS8_TKR181100059_sc56" "YS8_TKR181100059_sc57" "YS8_TKR181100059_sc58" "YS8_TKR181100059_sc59" "YS8_TKR181100059_sc61" "YS8_TKR181100059_sc62" "YS8_TKR181100059_sc63" "YS8_TKR181100059_sc64" "YS8_TKR181100059_sc65" "YS8_TKR181100059_sc66" "YS8_TKR181100059_sc67" "YS8_TKR181100059_sc68" "YS8_TKR181100059_sc69" "YS8_TKR181100059_sc70" "YS8_TKR181100059_sc71" "YS8_TKR181100059_sc72" "YS8_TKR181100059_sc74" "YS8_TKR181100059_sc75" "YS8_TKR181100059_sc77" "YS8_TKR181100059_sc78" "YS8_TKR181100059_sc79" "YS8_TKR181100059_sc80" "YS8_TKR181100059_sc82" "YS8_TKR181100059_sc83" "YS8_TKR181100059_sc84" "YS8_TKR181100059_sc86" "YS8_TKR181100059_sc87" "YS8_TKR181100059_sc88" "YS8_TKR181100059_sc89" "YS8_TKR181100059_sc90" "YS8_TKR181100059_sc91" "YS8_TKR181100059_sc92" "YS8_TKR181100059_sc93" "YS8_TKR181100059_sc94" "YS8_TKR181100059_sc95" "YS8_TKR181100059_sc96" "H4_TKR181100060_sc49" "H4_TKR181100060_sc50" "H4_TKR181100060_sc51" "H4_TKR181100060_sc52" "H4_TKR181100060_sc53" "H4_TKR181100060_sc54" "H4_TKR181100060_sc55" "H4_TKR181100060_sc56" "H4_TKR181100060_sc57" "H4_TKR181100060_sc58" "H4_TKR181100060_sc59" "H4_TKR181100060_sc61" "H4_TKR181100060_sc62" "H4_TKR181100060_sc63" "H4_TKR181100060_sc64" "H4_TKR181100060_sc65" "H4_TKR181100060_sc66" "H4_TKR181100060_sc68" "H4_TKR181100060_sc69"
"GABRR2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GABRR3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GACAT1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GACAT2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GACAT3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAD1" 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 78 0 0 0 0 0 0 1 0 2 0 0 11 1 0 2 15 2 0 46 143 2 1 11 1 0 1 0 16 0 0 32 0 0 0 0 0 14 2 0 0 0 0 0 0 0 1 0 0 40 42 0 2 2 0 0 0 0 17 0 0 35 10 36 22 0 0 0 0
"GAD2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GADD45A" 0 1 0 0 0 0 0 1 0 1 0 0 0 13 0 42 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 1 5 0 7 4 6 0 16 26 0 0 0 15 0 0 0 0 4 4 2 0 0 0 0 0 0 14 0 0 9 0 26 0 0 0 5 0 0 0 0 2 3 49 29 0 53 0 1 0 0 4 0 0 3 38 0 1 0 0 0 0
"GADD45B" 0 0 0 19 0 1 0 7 0 3 1 0 9 17 27 0 0 4 0 0 19 6 0 0 3 1 1 13 0 0 0 1 0 0 2 4 1 0 15 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 12 0 0 0 0 0 0 0 0 1 0 0 0 1 0 59 0 0 0 0 8 0 0 0 2 0 0 2 0 0 1 0
"GADD45G" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GADD45GIP1" 1 0 0 9 6 0 1 8 36 29 45 21 0 55 21 0 6 29 1 14 12 2 50 8 16 117 1 10 4 1 0 2 50 15 24 15 3 0 1 9 1 57 19 4 24 126 1 2 61 27 18 18 30 2 5 33 12 4 5 24 2 5 0 9 61 0 1 3 4 6 0 10 0 0 24 19 13 10 0 0 8 7 0 143 21 129 0 26 251 0 141 62 3 60 26 4 4 3 0 1 24
"GADL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE12B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE12C" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE12D" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE12E" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE12F" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE12G" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE12H" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE12I" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE12J" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE2A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE2B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE2C" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE2D" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE2E" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAGE8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAK" 9 0 0 0 0 0 0 7 65 2 14 2 15 0 43 12 1 1 1 0 49 0 9 0 11 25 0 1 0 5 0 0 21 12 4 7 0 2 0 1 0 0 0 1 3 57 0 0 1 2 0 0 1 0 8 0 0 0 0 8 0 11 0 0 18 0 0 0 1 28 0 26 0 0 0 0 1 0 0 0 0 0 0 0 14 0 0 0 1 0 4 0 0 0 0 0 0 13 0 0 0
"GAL" 0 0 0 0 0 0 0 0 0 0 22 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 13 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0
"GAL3ST1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAL3ST2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAL3ST3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GAL3ST4" 0 0 0 30 0 0 0 29 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 195 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
"GALC" 0 0 0 1 1 0 0 7 10 5 5 0 0 21 5 0 0 3 0 1 0 0 0 0 15 0 0 0 1 0 0 0 18 0 1 1 0 0 0 0 0 18 0 2 0 0 0 0 23 0 0 2 7 8 6 9 0 0 0 0 0 1 0 0 10 0 0 0 0 5 1 0 0 0 0 0 0 0 0 0 6 7 23 2 43 4 0 2 0 0 43 0 0 8 10 1 0 0 0 0 0
"GALE" 5 0 3 1 0 2 2 3 13 7 14 0 0 14 36 0 23 25 1 7 0 0 15 1 9 0 0 0 0 0 0 0 0 0 1 0 2 1 9 0 0 55 13 7 0 0 11 0 0 3 0 0 3 0 0 0 2 2 9 0 4 0 0 5 39 0 1 0 0 7 13 0 0 0 9 4 0 0 0 0 18 0 0 0 69 1 0 48 47 0 11 0 0 0 0 0 3 52 0 0 1
"GALK1" 1 18 0 0 5 0 3 0 24 0 28 1 0 1 41 11 20 5 3 8 10 31 1 5 26 69 0 0 0 0 0 2 0 0 0 0 0 1 3 3 17 12 3 0 3 40 0 1 26 18 0 20 20 1 28 0 0 1 16 43 2 23 0 8 3 0 4 1 0 3 2 30 0 4 8 18 7 3 3 0 15 24 51 150 83 43 0 14 0 7 0 1 15 9 0 0 0 1 0 0 0
"GALK2" 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 2 1 1 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 2 0 0 0 0 0 0 8 0 0 18 0 0 0 1 0 26 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 3 0 0 0 0 0 1 0 34 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"GALM" 0 0 0 0 0 0 1 0 12 0 0 0 0 2 1 0 0 11 0 0 31 0 0 0 12 23 0 13 0 0 0 0 15 1 0 4 1 0 0 0 1 0 0 0 21 0 0 0 16 1 10 0 1 0 2 0 0 85 0 1 0 0 0 0 0 0 0 0 6 24 0 0 1 0 0 0 0 0 0 0 0 0 0 1 5 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0
"GALNS" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 8 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 1 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 49 82 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GALNT1" 0 6 7 0 4 2 3 5 11 1 2 0 1 3 23 0 14 5 0 0 0 0 1 15 34 20 3 17 7 0 1 2 1 3 7 14 3 0 61 8 8 37 5 4 30 62 1 22 36 3 14 37 7 3 1 30 0 0 2 6 11 12 13 30 7 7 13 9 0 6 10 1 1 0 0 0 5 7 5 3 6 11 34 14 14 2 28 45 0 8 66 79 0 15 24 0 0 2 0 0 0
"GALNT10" 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 13 0 1 0 0 0 4 0 0 7 1 5 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 5 0 1 0 6 0 0 0 0 12 1 0 1 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 9 26 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GALNT11" 0 0 4 0 0 1 0 0 0 2 0 0 0 0 10 0 0 0 0 8 0 0 1 0 1 32 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 13 29 0 0 0 0 0 0 12 0 0 0 0 0 1 0 0 0 0 5 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 1 0 8 63 0 0 0 0 0 3 0 1 0 0 0 0
"GALNT12" 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 29 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 40 1 57 0 0 7 2 4 0 0 0 0 0 0 0 0 0 0
"GALNT13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GALNT14" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 12 0 0 2 1 0 1 33 0 0 0 0 14 1 0 1 0 1 0 0 0 0 0 2 0 0 5 10 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0
"GALNT15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GALNT16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GALNT18" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 13 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GALNT2" 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 5 0 0 0 0 3 0 2 0 1 0 4 0 0 0 7 4 3 0 0 0 0 0 0 0 8 0 0 10 6 0 1 0 0 0 0 0 11 0 0 0 1 2 0 0 9 0 0 0 0 0 1 0 9 3 0 0 0 0 0 0 0 0 0 1 2 0 39 0 29 0 0 7 0 0 0 1 0 0 0 29 0 3
"GALNT3" 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 10 0 0 0 11 0 0 0 0 0 0 0 0 11 9 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GALNT4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GALNT5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
