"B3_TKR181100057_sc1" "B3_TKR181100057_sc2" "B3_TKR181100057_sc3" "B3_TKR181100057_sc4" "B3_TKR181100057_sc5" "B3_TKR181100057_sc6" "B3_TKR181100057_sc7" "B3_TKR181100057_sc9" "B3_TKR181100057_sc10" "B3_TKR181100057_sc11" "B3_TKR181100057_sc12" "B3_TKR181100057_sc13" "B3_TKR181100057_sc14" "B3_TKR181100057_sc15" "B3_TKR181100057_sc16" "B3_TKR181100057_sc17" "B3_TKR181100057_sc18" "B3_TKR181100057_sc20" "B3_TKR181100057_sc21" "B3_TKR181100057_sc24" "B3_TKR181100057_sc25" "B3_TKR181100057_sc26" "B3_TKR181100057_sc27" "B3_TKR181100057_sc28" "B3_TKR181100057_sc29" "B3_TKR181100057_sc30" "B3_TKR181100057_sc32" "B3_TKR181100057_sc33" "B3_TKR181100057_sc35" "B3_TKR181100057_sc36" "B3_TKR181100057_sc37" "B3_TKR181100057_sc38" "B3_TKR181100057_sc40" "B3_TKR181100057_sc41" "B3_TKR181100057_sc42" "B3_TKR181100057_sc43" "B3_TKR181100057_sc46" "B3_TKR181100057_sc47" "B3_TKR181100057_sc48" "YS8_TKR181100059_sc49" "YS8_TKR181100059_sc50" "YS8_TKR181100059_sc51" "YS8_TKR181100059_sc52" "YS8_TKR181100059_sc53" "YS8_TKR181100059_sc54" "YS8_TKR181100059_sc55" "YS8_TKR181100059_sc56" "YS8_TKR181100059_sc57" "YS8_TKR181100059_sc58" "YS8_TKR181100059_sc59" "YS8_TKR181100059_sc61" "YS8_TKR181100059_sc62" "YS8_TKR181100059_sc63" "YS8_TKR181100059_sc64" "YS8_TKR181100059_sc65" "YS8_TKR181100059_sc66" "YS8_TKR181100059_sc67" "YS8_TKR181100059_sc68" "YS8_TKR181100059_sc69" "YS8_TKR181100059_sc70" "YS8_TKR181100059_sc71" "YS8_TKR181100059_sc72" "YS8_TKR181100059_sc74" "YS8_TKR181100059_sc75" "YS8_TKR181100059_sc77" "YS8_TKR181100059_sc78" "YS8_TKR181100059_sc79" "YS8_TKR181100059_sc80" "YS8_TKR181100059_sc82" "YS8_TKR181100059_sc83" "YS8_TKR181100059_sc84" "YS8_TKR181100059_sc86" "YS8_TKR181100059_sc87" "YS8_TKR181100059_sc88" "YS8_TKR181100059_sc89" "YS8_TKR181100059_sc90" "YS8_TKR181100059_sc91" "YS8_TKR181100059_sc92" "YS8_TKR181100059_sc93" "YS8_TKR181100059_sc94" "YS8_TKR181100059_sc95" "YS8_TKR181100059_sc96" "H4_TKR181100060_sc49" "H4_TKR181100060_sc50" "H4_TKR181100060_sc51" "H4_TKR181100060_sc52" "H4_TKR181100060_sc53" "H4_TKR181100060_sc54" "H4_TKR181100060_sc55" "H4_TKR181100060_sc56" "H4_TKR181100060_sc57" "H4_TKR181100060_sc58" "H4_TKR181100060_sc59" "H4_TKR181100060_sc61" "H4_TKR181100060_sc62" "H4_TKR181100060_sc63" "H4_TKR181100060_sc64" "H4_TKR181100060_sc65" "H4_TKR181100060_sc66" "H4_TKR181100060_sc68" "H4_TKR181100060_sc69"
"AADAT" 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 30 24 23 0 0 32 6 1 0 0 1 19 1 0 16 1 20 0 0 15 0 0 0 0 0 0 1 0 0 0 2 1 0 3 1 7 0 0 6 0 3 0 0 0 0 123 0 1 0 0 14 5 7 0 0 0 0 3 0 0 0
"AAED1" 0 0 6 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 7 1 0 0 0 0 0 0 0 7 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 7 0 0 0 3 0 0 0 7 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAGAB" 0 0 0 9 2 3 0 5 14 0 0 0 0 0 0 0 0 2 0 0 0 0 10 2 0 9 0 6 0 0 0 0 1 11 1 0 2 0 0 1 0 0 0 0 0 39 0 0 0 0 0 5 0 0 0 1 0 0 0 7 0 10 0 9 0 3 8 7 0 12 0 0 0 0 0 4 2 0 0 0 0 11 0 0 1 22 0 102 0 31 0 0 0 0 1 1 0 14 1 0 0
"AAK1" 0 0 15 4 0 3 2 8 3 0 2 0 5 0 33 0 0 8 6 4 0 16 1 0 51 19 0 0 0 0 13 4 0 1 18 0 0 6 0 1 1 9 0 0 12 12 0 0 0 3 0 0 0 14 6 17 0 29 0 2 0 0 0 0 14 0 0 0 0 0 8 0 0 0 11 0 0 6 0 0 0 0 0 4 170 0 0 29 54 0 0 0 0 0 0 0 0 0 0 0 0
"AAMDC" 0 5 0 0 0 0 0 0 18 0 5 0 0 1 14 1 0 1 0 3 0 0 0 0 1 30 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48 1 0 0 0 0 0 0 1 0 0 0 1 6 0 0 1 1 15 0 7 0 0 11 0 0 0 2 0 0 0 0 0 0 0 0 2 2 0 0 4 23 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 1 38 0
"AAMP" 0 0 23 0 1 0 1 0 24 0 27 1 0 1 67 2 12 10 0 10 1 3 35 6 60 31 3 21 4 8 6 3 0 10 41 5 2 1 1 1 1 29 0 2 0 6 0 1 64 23 4 8 21 3 34 17 3 3 1 9 0 4 0 5 49 2 2 0 4 13 11 16 1 3 1 8 10 1 4 12 3 16 0 65 9 0 0 115 6 1 1 2 11 3 1 0 1 5 0 0 1
"AANAT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AAR2" 0 0 0 0 2 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 32 0 0 1 0 0 0 0 0 0 0 0 45 0 0 12 0 13 0 0 0 0 0 1 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 6 0 0 1 0 0 0 0 0 0 2 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0
"AARD" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AARS" 8 0 1 4 3 3 0 9 28 0 15 0 0 10 19 23 12 6 4 9 0 0 0 8 20 19 0 18 9 16 0 0 10 42 0 5 1 0 0 13 13 50 0 0 3 37 0 8 14 9 1 0 41 0 1 0 0 1 22 15 0 0 27 4 0 11 0 0 0 0 0 0 0 6 19 0 0 54 2 0 0 0 1 54 2 1 0 93 77 25 22 0 0 0 1 0 1 0 0 0 0
"AARS2" 0 0 0 0 1 0 0 6 0 6 1 2 0 0 5 0 0 10 3 6 0 1 0 14 7 43 0 0 0 10 0 0 0 5 0 5 0 0 0 7 0 1 29 0 1 1 0 0 5 5 0 0 1 1 2 0 0 1 0 3 0 2 0 1 7 0 0 0 0 0 1 0 0 1 0 4 5 37 0 0 2 0 0 1 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0
"AARSD1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AASDH" 0 1 2 1 0 0 0 5 0 0 1 0 0 2 0 14 0 0 0 0 0 0 5 2 3 17 0 20 0 0 0 0 21 0 0 0 0 0 17 0 0 1 0 0 60 0 0 0 34 2 4 0 11 0 7 0 1 0 2 9 0 0 15 0 1 0 0 10 0 0 17 0 0 1 0 4 0 13 0 0 3 0 18 5 0 24 0 1 5 0 8 1 1 1 0 0 0 0 0 30 0
"AASDHPPT" 0 0 0 0 2 2 0 5 0 0 19 0 0 10 0 4 1 3 1 0 0 6 6 1 44 31 11 4 0 0 0 1 21 22 17 4 0 0 0 16 0 11 0 0 0 20 0 21 18 9 1 13 26 0 13 32 0 0 3 12 0 7 0 5 12 7 10 0 0 12 0 0 0 2 0 0 4 26 1 0 10 30 0 85 1 15 21 18 142 0 30 1 0 49 0 0 17 1 0 0 7
"AASS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 7 1 8 6 48 0 0 0 0 0 0 0 7 6 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 6 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0
"AATBC" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AATF" 0 7 6 12 0 0 0 12 5 5 0 9 0 27 9 1 6 3 5 14 0 0 0 2 36 0 0 10 0 0 0 1 0 46 1 1 0 0 13 25 13 26 0 0 0 1 2 10 2 7 28 2 22 17 10 19 55 26 0 6 0 20 56 0 33 0 0 8 0 14 0 5 0 0 0 9 0 0 0 0 0 0 72 210 54 42 0 51 0 0 25 0 3 56 0 2 3 1 1 1 0
"AATK" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 19 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0
"AATK-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABALON" 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABAT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABCA1" 7 0 0 1 0 0 0 24 0 0 1 0 9 0 0 0 0 0 1 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 0 0 2 0 0 0 3 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 410 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"ABCA10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ABCA11P" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
