"FL7_TKR181200323_sc49" "FL7_TKR181200323_sc50" "FL7_TKR181200323_sc51" "FL7_TKR181200323_sc52" "FL7_TKR181200323_sc53" "FL7_TKR181200323_sc54" "FL7_TKR181200323_sc55" "FL7_TKR181200323_sc56" "FL7_TKR181200323_sc57" "FL7_TKR181200323_sc58" "FL7_TKR181200323_sc59" "FL7_TKR181200323_sc60" "FL7_TKR181200323_sc61" "FL7_TKR181200323_sc62" "FL7_TKR181200323_sc63" "FL7_TKR181200323_sc64" "FL7_TKR181200323_sc65" "FL7_TKR181200323_sc66" "FL7_TKR181200323_sc67" "FL7_TKR181200323_sc68" "FL7_TKR181200323_sc69" "FL7_TKR181200323_sc70" "FL7_TKR181200323_sc71" "FL7_TKR181200323_sc72" "FL7_TKR181200323_sc73" "FL7_TKR181200323_sc74" "FL7_TKR181200323_sc75" "FL7_TKR181200323_sc76" "FL7_TKR181200323_sc77" "FL7_TKR181200323_sc78" "FL7_TKR181200323_sc79" "FL7_TKR181200323_sc80" "FL7_TKR181200323_sc81" "FL7_TKR181200323_sc82" "FL7_TKR181200323_sc83" "FL7_TKR181200323_sc84" "FL7_TKR181200323_sc86" "FL7_TKR181200323_sc87" "FL7_TKR181200323_sc88" "FL7_TKR181200323_sc89" "FL7_TKR181200323_sc90" "FL7_TKR181200323_sc91" "FL7_TKR181200323_sc92" "FL7_TKR181200323_sc93" "FL7_TKR181200323_sc94" "FL7_TKR181200323_sc95" "FL7_TKR181200323_sc96" "YS9_TKR181200321_sc1" "YS9_TKR181200321_sc2" "YS9_TKR181200321_sc3" "YS9_TKR181200321_sc4" "YS9_TKR181200321_sc7" "YS9_TKR181200321_sc8" "YS9_TKR181200321_sc9" "YS9_TKR181200321_sc10" "YS9_TKR181200321_sc11" "YS9_TKR181200321_sc12" "YS9_TKR181200321_sc13" "YS9_TKR181200321_sc14" "YS9_TKR181200321_sc15" "YS9_TKR181200321_sc16" "YS9_TKR181200321_sc17" "YS9_TKR181200321_sc19" "YS9_TKR181200321_sc20" "YS9_TKR181200321_sc21" "YS9_TKR181200321_sc22" "YS9_TKR181200321_sc24" "YS9_TKR181200321_sc25" "YS9_TKR181200321_sc26" "YS9_TKR181200321_sc27" "YS9_TKR181200321_sc28" "YS9_TKR181200321_sc29" "YS9_TKR181200321_sc30" "YS9_TKR181200321_sc32" "YS9_TKR181200321_sc33" "YS9_TKR181200321_sc36" "YS9_TKR181200321_sc37" "YS9_TKR181200321_sc38" "YS9_TKR181200321_sc39" "YS9_TKR181200321_sc40" "YS9_TKR181200321_sc41" "YS9_TKR181200321_sc42" "YS9_TKR181200321_sc44" "YS9_TKR181200321_sc45" "YS9_TKR181200321_sc47" "YS9_TKR181200321_sc48" "H6_TKR181200322_sc49" "H6_TKR181200322_sc50" "H6_TKR181200322_sc51" "H6_TKR181200322_sc52" "H6_TKR181200322_sc53" "H6_TKR181200322_sc54" "H6_TKR181200322_sc55" "H6_TKR181200322_sc56" "H6_TKR181200322_sc57" "H6_TKR181200322_sc58" "H6_TKR181200322_sc59" "H6_TKR181200322_sc60" "H6_TKR181200322_sc61" "H6_TKR181200322_sc62" "H6_TKR181200322_sc63" "H6_TKR181200322_sc64" "H6_TKR181200322_sc65" "H6_TKR181200322_sc66" "H6_TKR181200322_sc67" "H6_TKR181200322_sc68" "H6_TKR181200322_sc69" "H6_TKR181200322_sc70" "H6_TKR181200322_sc71" "H6_TKR181200322_sc72" "H6_TKR181200322_sc73" "H6_TKR181200322_sc74" "H6_TKR181200322_sc75" "H6_TKR181200322_sc76" "H6_TKR181200322_sc77" "H6_TKR181200322_sc78" "H6_TKR181200322_sc79" "H6_TKR181200322_sc80" "H6_TKR181200322_sc81" "H6_TKR181200322_sc82" "H6_TKR181200322_sc83" "H6_TKR181200322_sc84" "H6_TKR181200322_sc85" "H6_TKR181200322_sc86" "H6_TKR181200322_sc87" "H6_TKR181200322_sc88" "H6_TKR181200322_sc89" "H6_TKR181200322_sc90" "H6_TKR181200322_sc91" "H6_TKR181200322_sc92" "H6_TKR181200322_sc93" "H6_TKR181200322_sc94" "H6_TKR181200322_sc95" "H6_TKR181200322_sc96"
"ELF2" 0 1 4 14 6 7 21 1 3 2 1 1 28 0 37 46 11 4 56 0 1 112 0 0 3 90 44 1 20 0 56 51 13 0 11 8 1 0 0 5 19 7 85 0 0 13 5 0 0 4 2 0 1 2 0 1 3 0 0 9 1 4 41 3 1 4 0 6 1 4 3 0 4 2 3 8 0 0 0 0 0 9 5 6 0 10 0 59 9 0 0 0 0 1 0 9 0 49 1 0 1 19 38 49 10 78 1 43 0 0 2 0 0 0 4 9 0 1 11 0 0 39 5 0 2 2 48 12 1 81 5 14 0 0
"ELF3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ELF4" 0 8 0 0 0 0 0 2 0 0 0 58 0 0 10 18 11 10 10 0 4 0 26 12 0 0 0 0 0 1 0 40 1 0 0 0 0 0 0 0 0 0 162 7 0 1 0 0 0 0 0 0 0 0 3 0 4 8 4 0 0 0 7 0 0 4 2 0 0 0 2 0 0 0 0 0 0 0 3 0 14 17 0 4 4 0 10 0 0 0 5 30 0 0 0 0 0 3 15 0 22 32 1 0 45 18 0 7 0 5 3 0 0 0 0 0 17 140 2 0 0 18 0 0 0 0 0 0 3 1 0 14 0 17
"ELF5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ELFN1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ELFN1-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0
"ELFN2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ELK1" 0 0 0 13 0 15 0 0 2 19 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 44 0 0 0 0 0 0 1 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 5 0 0 0 0 4 0 4 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0
"ELK2AP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ELK3" 25 129 16 0 6 0 0 4 4 45 17 0 53 78 27 54 76 7 101 0 11 19 2 18 0 66 0 2 0 2 1 9 0 6 49 14 30 0 14 60 28 8 2 0 3 5 33 6 4 15 7 2 4 0 3 0 16 6 10 11 5 17 58 3 1 1 7 30 0 14 0 16 1 5 0 12 3 72 3 14 29 7 8 10 11 16 21 90 12 17 4 1 0 0 0 59 0 23 35 94 93 15 27 108 9 97 46 5 1 0 1 34 0 4 59 1 0 12 14 3 23 22 2 130 1 4 14 33 2 3 4 27 0 38
"ELK4" 0 0 0 0 0 0 0 0 1 0 1 0 12 0 0 13 15 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 1 6 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 4 7 0 0 0 1 6 0 0 0 0 0 2 0 0 0 1 0 3 9 0 0 2 0 0 5 0 0 0 6 0 0 0 0 0 0 0 0 17 29 0 1 0 0 40 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 5 0 0 0 0 0 0 10 0 0 10 0 1
"ELL" 8 0 9 24 0 0 0 4 0 0 0 0 1 3 0 1 19 0 20 0 1 9 0 0 0 0 0 0 0 0 52 0 0 0 0 0 0 0 0 0 0 20 15 1 0 6 0 1 5 2 2 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 6 0 0 21 0 0 0 0 0 2 0 0 19 0 8 0 4 0 0 0 0 10 0 0 0 23 0 0 10 0 0 0 7 15 0 0 0 0 0 1 27 7 15 36 0 0 9 5 0 0 0 2 3 11 1 5 0 12 5 30
"ELL2" 0 0 2 0 0 0 0 0 0 4 0 0 0 0 1 2 0 89 0 0 2 26 0 13 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 1 0 0 2 2 0 0 0 4 6 0 0 0 0 0 0 6 0 0 0 1 2 0 0 6 0 0 0 0 0 0 0 0 0 0 13 0 1 0 0 1 0 0 0 0 0 0 0 0 14 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 26 3 7 0 0 2 0 1 0 0 0 0 0 0 0 0 4 0
"ELL3" 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 4 58 0 0 0 0 52 0 0 0 0 0 0 3 0 0 0 0 0 0 0 2 0 0 0 0 94 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 1 0 0 0 0 0 0 24 42 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 62 16 0 0 0 0 0 0
"ELMO1" 0 1 2 0 1 0 0 0 8 0 0 5 3 32 14 53 9 119 77 22 0 3 1 4 1 0 7 2 30 0 0 23 0 1 6 0 0 0 0 0 12 1 4 0 0 18 13 1 13 1 3 0 0 0 0 2 1 21 0 4 13 11 0 1 1 4 7 5 19 0 0 1 1 1 0 0 0 0 0 7 24 4 6 3 0 0 17 25 2 15 0 54 17 0 0 0 9 0 1 30 54 24 20 3 2 3 0 12 11 6 2 0 5 2 5 7 5 0 17 3 22 2 1 7 8 0 1 0 20 0 3 12 27 36
"ELMO1-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ELMO2" 0 9 0 5 6 1 0 7 1 1 0 0 6 17 18 1 5 0 1 0 0 5 2 0 0 27 0 1 19 4 0 21 0 0 4 0 0 0 3 0 0 5 2 2 0 1 0 1 0 0 0 1 0 1 3 0 0 3 6 1 0 5 0 0 0 3 0 0 0 1 1 0 1 0 0 0 0 0 0 0 12 1 2 3 11 21 27 22 2 8 1 0 0 1 0 0 1 1 10 2 0 12 0 0 0 75 19 15 1 0 0 26 0 1 46 0 22 37 1 0 1 8 1 0 0 0 0 10 0 6 7 7 1 0
"ELMO3" 0 0 0 0 0 0 0 0 0 3 0 0 0 3 0 0 3 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ELMOD1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ELMOD2" 0 15 0 0 0 0 0 0 0 0 0 2 0 0 0 3 0 11 4 0 0 0 16 12 0 0 0 1 12 0 1 0 0 0 0 0 0 0 0 2 0 3 0 2 0 0 12 0 4 0 0 0 0 0 0 0 1 0 5 5 0 1 9 0 0 4 3 1 0 2 1 4 0 1 0 0 5 8 0 0 1 0 0 2 0 1 0 12 4 0 0 0 0 1 1 0 0 1 0 0 37 7 5 0 0 21 9 41 0 0 0 0 0 2 34 0 0 1 4 0 0 0 0 24 7 1 46 18 0 0 0 0 2 0
"ELMOD3" 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 6 24 0 0 0 0 2 0 0 0 15 0 0 0 0 0 8 0 2 0 5 0 1 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 12 0 0 0 0 0 0 9 0 0 0 0 0 0 3 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 1 0 0 0 0 0 0 0 0 0 18
"ELMSAN1" 0 0 0 0 0 1 0 3 14 0 0 1 2 0 14 0 2 58 59 23 3 0 42 20 0 9 0 2 28 0 0 0 0 0 0 0 0 0 7 0 8 5 9 1 0 4 33 0 10 2 0 1 0 0 1 2 2 3 11 8 0 2 10 1 2 0 2 0 0 0 0 1 2 8 0 0 1 6 0 3 0 1 3 5 18 6 1 21 0 16 1 40 0 0 0 0 0 0 0 1 4 25 13 0 46 0 2 83 0 0 0 15 0 0 23 0 37 88 0 1 2 12 2 0 0 0 5 0 0 37 0 53 0 0
"ELN" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 4 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ELOF1" 43 38 0 0 0 15 17 1 0 49 1 0 10 0 5 0 26 0 20 0 16 23 156 31 1 0 0 1 1 4 0 0 0 0 32 59 0 1 0 0 10 12 42 9 0 4 29 3 0 2 2 1 1 0 5 0 0 0 9 6 0 6 22 1 3 3 4 15 0 8 2 2 1 0 0 0 0 15 0 0 17 13 0 14 0 0 60 32 4 1 1 0 0 0 0 25 0 52 17 7 66 0 0 2 7 75 18 82 66 8 5 1 11 5 1 0 0 7 20 0 0 36 4 4 1 1 20 52 1 66 0 29 8 1
"ELOVL1" 6 3 1 0 5 48 0 5 0 10 2 0 1 0 0 32 2 58 1 46 0 18 0 17 1 0 0 2 19 16 0 135 0 0 15 0 2 1 3 0 0 10 119 0 22 5 0 1 0 1 1 0 2 1 2 2 0 3 0 2 0 4 13 0 0 5 2 0 0 0 1 0 0 0 0 5 0 36 1 7 3 0 3 2 0 54 0 0 8 62 0 38 43 0 0 0 0 18 0 0 56 0 1 0 0 105 37 21 0 0 1 0 0 1 0 0 0 0 1 0 29 1 0 59 3 0 7 18 1 2 9 0 11 0
"ELOVL2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"ELOVL2-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ELOVL3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ELOVL4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ELOVL5" 0 4 1 17 8 2 25 5 7 11 0 1 0 17 18 62 12 32 29 4 5 5 9 6 2 0 0 4 1 5 48 21 7 0 1 4 0 0 1 0 3 7 20 1 36 4 16 0 0 1 0 2 1 0 0 2 13 2 0 4 0 10 35 2 0 2 3 28 0 0 0 28 1 2 0 3 4 13 0 6 0 20 8 0 0 33 8 50 2 0 1 11 67 0 1 5 0 30 12 21 48 31 6 0 24 32 0 14 33 13 3 53 0 0 9 0 48 20 4 0 36 15 0 62 3 6 72 32 14 71 3 8 0 1
"ELOVL6" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 17 38 0 0 12 0 1 0 0 0 3 0 1 17 0 3 11 2 0 0 1 0 3 0 41 0 0 1 16 1 0 0 0 0 0 0 0 0 0 3 0 6 0 3 6 0 2 0 0 1 6 3 1 0 0 2 6 0 1 27 0 0 4 9 3 0 0 0 0 1 0 0 1 31 24 0 0 62 0 25 0 0 38 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 4 0 14 0 0 0 16 1 0 0 0 0 1
"ELOVL7" 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ELP2" 1 3 1 0 3 0 0 2 0 6 0 29 0 25 34 62 29 1 0 0 8 21 0 0 0 1 13 1 0 0 0 31 14 0 0 10 0 0 0 2 7 0 0 1 0 0 14 0 0 0 1 1 0 3 0 3 2 4 23 6 0 1 2 1 0 17 3 0 7 0 1 0 0 0 0 3 0 0 1 0 19 3 0 0 2 0 1 0 0 1 0 1 35 0 0 0 0 0 0 2 17 0 0 0 0 55 0 0 56 1 3 0 5 3 2 5 1 17 9 0 0 27 0 28 0 1 38 29 8 16 0 1 10 44
"ELP3" 10 3 0 0 0 0 1 0 5 6 0 0 14 0 0 0 41 2 0 56 8 39 0 0 1 0 0 2 0 0 1 15 10 0 0 5 117 0 0 0 0 0 4 2 0 0 0 0 0 2 0 0 0 0 0 0 3 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 11 2 8 0 0 0 0 0 0 0 0 40 22 20 5 0 0 0 16 1 1 9 0 11 13 0 0 1 0 0 1 37 6 33 0 0 0 55 0 0 60 0 0 26 2 0 0 11 0 0 8 3 0 14 8 1 3 0 1 0
"ELP4" 24 9 0 0 0 0 0 0 0 0 0 0 0 0 0 24 5 0 29 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 11 14 0 0 1 0 0 3 25 0 0 0 11 0 5 0 2 0 1 0 2 0 0 0 1 2 0 0 0 0 0 0 0 9 0 0 0 4 0 0 0 0 6 0 1 0 0 6 3 1 0 0 10 0 1 0 0 0 0 0 2 50 0 0 0 19 0 0 4 0 0 31 0 0 0 0 0 0 0 1 0 0 2 23 10 0 0 11 0 0 0 0 45 0 0 36 0 0 0 0
"ELP5" 0 6 3 9 0 0 0 3 3 1 0 0 0 0 0 0 21 1 7 4 0 2 3 0 1 0 0 1 0 0 17 27 0 0 5 0 2 2 1 0 0 0 39 2 1 4 5 0 0 2 3 0 0 0 0 0 4 2 0 6 0 8 6 0 1 0 3 2 0 0 0 0 2 1 0 0 5 0 0 0 6 0 5 1 3 0 15 3 6 0 0 0 0 0 0 0 0 0 27 0 10 0 3 9 5 14 5 10 19 0 1 0 6 0 0 0 0 64 5 0 1 18 0 1 0 0 21 4 0 1 0 4 6 3
"ELP6" 0 0 0 0 0 1 0 2 0 49 4 0 1 44 0 0 32 20 22 0 0 0 49 6 0 0 0 0 0 0 0 38 0 0 0 0 1 0 0 0 7 1 78 4 0 0 26 0 0 0 1 0 1 0 1 0 0 14 0 3 0 1 32 0 0 0 5 0 0 2 0 5 0 0 0 2 1 0 0 0 0 4 8 6 0 0 12 11 0 0 0 20 55 0 0 25 0 0 0 1 79 0 7 0 29 11 19 21 69 11 0 0 1 1 13 0 0 6 7 0 0 1 0 30 0 3 0 16 7 4 0 0 10 1
"ELSPBP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"EMB" 0 7 0 10 0 0 7 5 12 72 0 26 10 1 0 82 26 1 57 0 0 0 46 0 4 0 0 0 94 0 17 10 0 0 0 0 3 0 1 0 14 5 2 0 0 14 0 1 0 0 0 0 2 0 0 5 0 11 1 12 3 1 31 1 0 1 5 0 0 0 0 1 0 1 0 18 0 25 6 8 21 2 0 0 7 0 28 34 1 1 3 0 31 1 0 28 0 17 43 12 27 23 16 2 0 3 17 81 9 0 1 58 6 1 10 18 0 14 5 1 16 25 1 73 12 2 15 16 29 51 0 0 70 28
"EMBP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"EMC1" 0 20 0 0 0 1 1 4 0 12 0 0 0 0 0 0 5 0 6 0 0 48 2 20 1 0 0 0 0 0 13 0 12 0 0 0 9 0 1 0 8 0 19 0 0 1 16 0 0 1 1 1 1 1 0 0 0 2 3 1 0 8 21 0 0 1 0 0 0 0 0 0 0 0 0 2 0 22 0 2 18 1 4 0 2 16 25 0 6 0 0 1 12 0 0 4 0 14 16 9 0 16 8 0 8 50 2 49 32 0 0 0 0 0 0 9 0 8 0 0 8 18 0 9 5 0 11 13 3 0 0 0 3 6
"EMC10" 28 36 1 0 0 0 0 6 5 5 0 53 15 56 42 1 4 49 28 0 0 0 37 21 0 53 0 1 77 7 1 0 0 6 8 2 1 4 10 25 3 1 46 0 0 9 0 0 1 0 1 1 0 0 2 1 3 4 15 0 1 3 35 2 1 1 10 0 0 0 2 0 2 0 0 5 5 15 0 0 0 3 0 10 9 0 29 0 0 57 0 28 0 1 1 0 0 16 34 37 83 10 7 9 28 15 3 18 8 12 0 1 1 2 1 0 42 1 1 4 21 1 0 90 0 0 34 0 2 34 0 13 19 16
"EMC2" 1 2 11 0 0 0 0 0 0 0 0 29 0 1 19 0 7 0 0 89 0 18 0 59 0 0 0 1 0 0 1 12 6 4 10 3 0 0 1 0 40 0 0 0 0 9 0 0 0 2 1 0 0 0 2 1 1 0 0 10 0 0 0 1 1 0 0 0 0 3 0 1 3 0 0 0 0 0 0 0 0 2 7 4 10 0 0 0 2 0 0 0 19 0 0 32 0 0 0 2 13 2 1 0 0 43 0 7 15 10 2 0 0 0 19 6 0 0 3 0 1 9 0 0 0 2 0 21 0 2 1 0 3 1
