measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High fasting plasma glucose,Percent,1990,0.02977531093804872,0.035089783640120976,0.025357575480243425
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High fasting plasma glucose,Rate,1990,1443.2177872441152,1707.3258851167204,1220.6608318113697
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,High fasting plasma glucose,Percent,1990,0.039155345429101755,0.04714661779215117,0.03302126669569715
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,1959.6380241776178,2362.42821383978,1638.6897443132045
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High systolic blood pressure,Number,1990,153731856.97931767,169476398.86733225,138661444.40099725
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High systolic blood pressure,Percent,1990,0.05932222302177442,0.06542206985523509,0.053078727761743744
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High systolic blood pressure,Rate,1990,2873.574463613664,3167.8733447933864,2591.876489022686
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,High systolic blood pressure,Percent,1990,0.07905026705185524,0.08730762095844738,0.07045603599657045
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,High systolic blood pressure,Rate,1990,3953.91957710423,4359.130397687905,3557.533283963533
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High body-mass index,Number,1990,67283003.77844168,103627486.6875517,37963402.972293995
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High body-mass index,Percent,1990,0.02595066100883931,0.039884206708121525,0.014576744393222889
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,High body-mass index,Rate,1990,1257.662044106858,1937.0175142935761,709.6165198065331
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,High body-mass index,Percent,1990,0.03272419046564786,0.050405038793150427,0.01827372738047301
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,High body-mass index,Rate,1990,1637.5831235880485,2514.254422758115,919.2113772996065
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Low bone mineral density,Number,1990,8588936.022894002,10138618.972807543,7041724.560920922
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Low bone mineral density,Percent,1990,0.0033085446511250424,0.0037361175565596067,0.002796260574154884
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Low bone mineral density,Rate,1990,160.54543092080215,189.51229204554724,131.62476714755232
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Low bone mineral density,Percent,1990,0.004521230931210837,0.005112208763840361,0.003817815495345349
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Low bone mineral density,Rate,1990,226.56750129969313,268.0782307712354,185.25840855220687
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Dietary risks,Number,1990,132041973.52739772,156824070.56786484,111262093.86642504
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Dietary risks,Percent,1990,0.05094729195544731,0.060900059632690504,0.04283542388039275
