measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Low bone mineral density,Rate,2019,215.15402280935527,258.95177191274325,174.52133087652436
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Low bone mineral density,Percent,2019,0.006291373674788963,0.007138195784180056,0.005283976399102195
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Low bone mineral density,Rate,2019,206.8471553138596,248.68929505138325,167.91626227864123
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Dietary risks,Number,2019,187695611.7225311,225396721.89282456,155915464.87063298
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Dietary risks,Percent,2019,0.07407711623215128,0.09014827331664388,0.060712433906992956
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Dietary risks,Rate,2019,2425.8025189446566,2913.056574480628,2015.0717640896612
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Dietary risks,Percent,2019,0.06973046337382631,0.08479197056636412,0.0571386892791422
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Dietary risks,Rate,2019,2287.316882461873,2750.7020849138776,1899.5540264811998
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Low physical activity,Number,2019,15747938.20678884,28617800.833784133,8515093.969910767
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Low physical activity,Percent,2019,0.006211569490934229,0.011112647745013684,0.003348106774448438
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Low physical activity,Rate,2019,203.52840335279657,369.86018326243453,110.05018290888717
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Low physical activity,Percent,2019,0.006045507172803758,0.010753281442703913,0.0032590732987682457
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Low physical activity,Rate,2019,198.4190830382157,360.3156769061536,108.1612870969248
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Occupational risks,Number,2019,66108349.12364522,75967679.01658835,56387137.98680964
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Occupational risks,Percent,2019,0.02603581873606111,0.028273593893273604,0.023820973236488716
DALYs (Disability-Adjusted Life Years),Global,Both,All ages,All causes,Occupational risks,Rate,2019,854.3929096460664,981.8161726084611,728.7547114670409
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Occupational risks,Percent,2019,0.024567070376965316,0.02678448983841925,0.022413838407092577
DALYs (Disability-Adjusted Life Years),Global,Both,Age-standardized,All causes,Occupational risks,Rate,2019,807.4702641813253,927.7723578996745,690.0647378312789
