ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa04060	Cytokine-cytokine receptor interaction	251	0.339008146537429	1.5407142819629	0.000124729527200255	0.00268948043025551	0.00201864892705677	2541	tags=33%, list=21%, signal=27%	3627/10563/6373/4283/6362/7850/6355/2921/6364/3595/3576/8792/6352/10663/3559/1230/6347/3561/6351/1237/1236/8200/11009/4050/3574/3575/6354/608/3458/959/27242/50615/1439/9235/6361/1234/9466/6367/6375/6374/3600/2919/8807/939/6360/10220/10148/3467/6357/3452/3601/64109/7124/29949/3569/4049/7852/4055/8808/3556/6376/3596/7293/2833/655/356/7133/958/1438/3587/6356/56300/3570/3578/3593/3558/2829/729230/3623/1232/3592/3560/3589
hsa05203	Viral carcinogenesis	153	0.336525259943436	1.44507628259832	0.00625197387447254	0.0422927644449613	0.0317437682790556	3032	tags=35%, list=25%, signal=26%	991/890/983/1111/898/9134/6502/1237/1029/4067/2957/5902/55697/3066/578/1019/1234/7534/5315/468/6850/1030/4055/7186/1959/3135/5933/5610/1642/5594/9734/4792/5567/3134/23352/7185/10379/5366/4893/1232/2960/23513/9114/2958/10971/7533/9519/5568/836/1233/6714/3106/8379
hsa05020	Prion disease	222	0.33122989347318	1.4858375608426	0.000692331110822276	0.00995225971807022	0.00746988830097719	2891	tags=40%, list=24%, signal=31%	6352/713/712/5688/5709/5693/7277/1535/1537/5713/10963/4688/9377/11047/5691/54205/779/292/5685/84790/5690/5684/5686/5695/203068/10213/10381/4726/5603/4689/5880/7979/4704/10105/10383/29796/7386/5714/10376/468/5702/7124/3569/5708/4725/518/2906/4723/5692/6262/506/5704/733/1349/4708/1536/5683/81027/3310/4700/509/1460/5594/6261/5694/54539/5567/1351/1329/7417/5718/5682/735/2932/6300/4719/4697/1649/4702/5707/1432/3552/516/4694/1340/731/5568/836
hsa04814	Motor proteins	147	0.327891130340405	1.40438961229022	0.00794466736617308	0.0489448257380306	0.0367366197759131	1461	tags=17%, list=12%, signal=15%	9493/1062/81930/3832/3833/146909/10112/24137/9928/11004/56992/4651/7277/7136/9585/58/4626/84790/203068/4647/7283/10381/10383/4624/10376
hsa05168	Herpes simplex virus 1 infection	299	-0.328555116046902	-1.4157186613431	0.00788561166380879	0.0489448257380306	0.0367366197759131	3041	tags=33%, list=25%, signal=26%	9534/7249/22869/7757/6431/3454/598/79175/7297/3456/51276/90333/51385/57615/26152/7743/7559/79744/7773/113835/22835/147657/79862/7711/57343/55422/80264/79788/7157/7639/7571/57506/6430/51427/5295/440515/7768/7770/7767/79818/7755/79898/10793/3441/388567/54925/170960/596/7596/9310/7561/7638/126070/7556/7248/7733/57711/6041/126017/51710/7769/63934/347344/84436/10224/59348/7539/80095/7188/7695/9422/10795/7700/55762/81856/7691/7728/727/7673/162972/55900/9668/10781/146542/7644/79973/79088/90338/7594/10520/79891/126231/7761/55786/3551/29990/55769/25799/7694/3117
hsa04151	PI3K-Akt signaling pathway	327	-0.33774678206329	-1.46747141995814	0.00116409570968207	0.0121700915103125	0.00913453092764876	1930	tags=23%, list=16%, signal=20%	627/2252/7059/92579/5563/5295/6794/1288/7010/3910/3371/3082/1291/4602/3791/1027/90993/3441/3643/1129/2322/1975/7450/596/3685/1942/2149/1280/4804/3675/595/2261/7248/2246/4803/3912/1902/1278/1277/2846/2057/1293/2247/55970/5618/7058/10161/56034/3693/4254/3480/4908/5159/1292/3908/2690/3909/8817/9223/4915/3551/2791/63923/3913/9863/3667/1287/3679/7060/3479/80310/1311/5105/2066/1101
hsa04360	Axon guidance	155	-0.358823284298952	-1.43447409028098	0.0072923838919061	0.0474692913718416	0.0356291248740596	2443	tags=24%, list=20%, signal=19%	10154/5532/3611/57556/5921/5530/5595/4636/4776/5295/7474/5590/1942/8633/6586/219699/9353/8829/2042/7869/23365/54961/10398/6469/64221/7220/9037/81029/6387/56920/10512/2045/5364/658/54361/9723/22885
hsa04152	AMPK signaling pathway	107	-0.399607344398121	-1.51456160595763	0.00481231859533235	0.0352248574715818	0.026438794623979	1896	tags=26%, list=16%, signal=22%	51719/92579/8660/5563/5295/6794/5564/90993/79966/3643/948/595/7248/2308/3953/81617/5468/3952/1149/6720/3480/3991/2203/32/3667/3479/9370/5105
hsa04820	Cytoskeleton in muscle cells	203	-0.403591936299213	-1.66746128919503	0.00012362846745495	0.00268948043025551	0.00201864892705677	2546	tags=34%, list=21%, signal=27%	3672/7169/51332/7057/4604/1298/7139/6385/6443/4608/9172/72/270/4636/83660/7059/7138/825/1288/4811/1291/1301/3685/482/7168/4628/9124/3675/8082/2318/8910/64236/6709/1278/57644/57731/481/1277/22795/1293/10398/23345/2192/1281/50509/1290/7058/477/91977/2199/6444/3693/9499/2273/3339/1462/1289/1292/3908/633/25802/2200/1634/1287/3679/7060/2006/4629/1311
hsa04510	Focal adhesion	190	-0.425056662663801	-1.74490828289682	3.90719746185664e-05	0.00113838212745113	0.00085443784394501	2111	tags=27%, list=17%, signal=23%	5595/5228/7424/1499/4636/83660/2013/7059/5295/1288/23396/3910/3371/3082/1291/394/3791/7450/596/3685/1280/3675/595/3912/1793/2012/1278/1277/1293/10398/55742/2317/7058/25759/56034/3693/3480/5159/857/1292/3908/3909/63923/3913/1287/3679/7060/3479/10451/80310/1311/1101
hsa05410	Hypertrophic cardiomyopathy	91	-0.438350415056649	-1.6210052052013	0.00172750140937592	0.0165552218398525	0.0124258873305987	2824	tags=34%, list=23%, signal=26%	6543/8515/51422/8516/6546/3672/7169/783/5562/7139/27091/6443/5563/5564/3685/7168/3675/8082/8910/7042/55799/27092/6444/3693/775/3908/7043/3679/3479/9254/776
hsa04512	ECM-receptor interaction	82	-0.463133346795088	-1.68146724755986	0.000999260605689706	0.0111208035149338	0.00834696465194118	1918	tags=34%, list=16%, signal=29%	7059/1288/3910/3371/1291/7450/3685/948/1280/3675/9900/3912/1278/1277/1293/7058/3693/3339/1292/3908/3909/63923/3913/1287/3679/7060/1311/1101
hsa04923	Regulation of lipolysis in adipocytes	52	-0.488961791455494	-1.63616563255674	0.00313908659657377	0.025616289876072	0.0192268720351296	2543	tags=35%, list=21%, signal=27%	115/5742/57104/154/107/8660/108/5295/3643/5592/4881/63924/5733/3991/4886/3667/2167/5346
hsa04930	Type II diabetes mellitus	43	-0.49789245089627	-1.63733891498242	0.00665831604829291	0.0441753660896356	0.0331567965157906	2181	tags=33%, list=18%, signal=27%	777/5595/8660/5295/80201/3643/5590/8835/6833/775/3551/3667/776/9370
hsa04340	Hedgehog signaling pathway	43	-0.509680502591689	-1.67610438679866	0.0046152396808535	0.0346142976064012	0.0259805254345529	2369	tags=35%, list=20%, signal=28%	8405/1456/8945/408/2735/8452/2619/596/595/6469/55733/2737/2121/4036/57758
hsa04974	Protein digestion and absorption	80	-0.531463923748713	-1.91961399309063	1.93938112052872e-05	0.000711604643064888	0.000534110578776392	1824	tags=41%, list=15%, signal=35%	1288/5547/1291/1301/80781/482/1280/1306/1278/481/1277/81578/4311/1293/1295/1281/50509/1290/477/1294/1360/1289/1292/1296/23428/1359/1300/1287/6505/2006/7373/1307/1308
hsa00982	Drug metabolism - cytochrome P450	50	-0.540702640907547	-1.80763953441239	0.000901194887339185	0.0109009624832025	0.00818195811096206	1425	tags=44%, list=12%, signal=39%	1576/1571/1558/1549/222/2949/2328/7366/1548/27306/316/2948/126/2946/2944/2953/2952/4128/2947/4129/125/2330
hsa04710	Circadian rhythm	29	-0.553611875839096	-1.67457964867054	0.00764513961847606	0.0488439475624859	0.0366609034336279	3493	tags=69%, list=29%, signal=49%	6095/4862/1454/23291/5187/51422/5562/1407/9975/8945/1628/5563/6500/5564/8863/79365/8553/8864/6097/1408
hsa00350	Tyrosine metabolism	31	-0.573534327574483	-1.75757725515822	0.0049008497351766	0.0352248574715818	0.026438794623979	1576	tags=35%, list=13%, signal=31%	7173/2184/1621/2954/316/126/8639/4128/6898/4129/125
