"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_25297","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales",NA,NA
"ASV_25298","Archaea","Halobacterota","Halobacteria","Halobacterales","Halomicrobiaceae","Halomicrobium"
"ASV_25299","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae",NA
"ASV_25300","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"ASV_25301","Bacteria","Actinobacteriota","Acidimicrobiia","IMCC26256",NA,NA
"ASV_25302","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium"
"ASV_25303","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Crossiella"
"ASV_25304","Bacteria","Proteobacteria","Gammaproteobacteria","Granulosicoccales",NA,NA
"ASV_25305","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA
"ASV_25306","Bacteria","Chloroflexi","TK10",NA,NA,NA
"ASV_25307","Bacteria","Proteobacteria","Gammaproteobacteria","WN-HWB-116",NA,NA
"ASV_25308","Archaea","Halobacterota","Halobacteria","Halobacterales",NA,NA
"ASV_25309","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA
"ASV_25310","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA
"ASV_25311","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14",NA
"ASV_25312","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",NA
"ASV_25313","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Craurococcus-Caldovatus"
"ASV_25314","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_25315","Bacteria","Gemmatimonadota","AKAU4049",NA,NA,NA
"ASV_25316","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Bauldia"
"ASV_25317","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas"
"ASV_25318","Bacteria","Actinobacteriota","Actinobacteria","Euzebyales","Euzebyaceae",NA
"ASV_25319","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Limibaculum"
"ASV_25320","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA
"ASV_25321","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"ASV_25322","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_25323","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter"
"ASV_25324","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA
"ASV_25325","Bacteria","Gemmatimonadota","Longimicrobia","Longimicrobiales","Longimicrobiaceae",NA
"ASV_25326","Bacteria","Gemmatimonadota","PAUC43f marine benthic group",NA,NA,NA
"ASV_25327","Archaea","Halobacterota","Halobacteria","Halobacterales","Haloferacaceae",NA
"ASV_25328","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Salegentibacter"
"ASV_25329","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Salegentibacter"
"ASV_25330","Archaea","Halobacterota","Halobacteria","Halobacterales","Haloferacaceae","Haloterrigena"
"ASV_25331","Bacteria","Desulfobacterota","Desulfuromonadia","Bradymonadales","Bradymonadaceae",NA
"ASV_25332","Archaea","Halobacterota","Halobacteria","Halobacterales","Haloferacaceae","Halorussus"
"ASV_25333","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira"
"ASV_25334","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"ASV_25335","Bacteria","Actinobacteriota","Thermoleophilia","Gaiellales",NA,NA
"ASV_25336","Archaea","Halobacterota","Halobacteria","Halobacterales",NA,NA
"ASV_25337","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae",NA
"ASV_25338","Archaea","Halobacterota","Halobacteria","Halobacterales","Halomicrobiaceae",NA
"ASV_25339","Bacteria","Gemmatimonadota","S0134 terrestrial group",NA,NA,NA
"ASV_25340","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781",NA
"ASV_25341","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA
"ASV_25342","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1"
"ASV_25343","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter"
"ASV_25344","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales",NA,NA
"ASV_25345","Archaea","Thermoplasmatota","Thermoplasmata","Marine Group II",NA,NA
"ASV_25346","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae",NA
"ASV_25347","Bacteria","Actinobacteriota","Acidimicrobiia","IMCC26256",NA,NA
"ASV_25348","Bacteria","Actinobacteriota","MB-A2-108",NA,NA,NA
