ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
hsa05323,Rheumatoid arthritis,77,0.486667973543977,1.91474256951408,0.00292397660818713,0.0358287545787546,0.0256651243493349,1866,tags=36%, list=15%, signal=31%,MMP1/CCL20/CXCL8/TNFRSF11A/CTLA4/CCL5/CCL2/HLA-DRB4/HLA-DOB/LTB/IFNG/ATP6V0A4/CD86/ITGB2/ICAM1/CXCL5/CTSL/IL15/CXCL1/CD28/VEGFA/ATP6V0B/TNF/IL6/TLR2/HLA-DQB1/ATP6V1F/ATP6V1B1
hsa04612,Antigen processing and presentation,63,0.485345889836498,1.84246647646614,0.00276243093922652,0.0358287545787546,0.0256651243493349,3283,tags=59%, list=26%, signal=43%,TAP1/KLRC3/HLA-DRB4/HLA-DOB/IFI30/KIR2DS1/IFNG/CTSS/KLRD1/CD8A/KIR2DL3/LGMN/KLRC4/PSME2/KIR2DS5/CTSL/KIR3DL3/TAP2/TNF/HLA-DQB1/RFXANK/HLA-G/HSPA6/HLA-F/KIR2DL4/HLA-DMB/CALR/PDIA3/HLA-DMA/HSP90AB1/CTSB/HLA-DRA/HLA-B/CD8B/HSPA5/CD4/KIR2DL2
hsa04115,p53 signaling pathway,65,0.479502318709787,1.82800715574067,0.00279329608938547,0.0358287545787546,0.0256651243493349,1076,tags=25%, list=9%, signal=23%,CCNB2/RRM2/CDK1/CHEK1/CCNB1/GTSE1/CCNE1/CCNE2/SERPINB5/CDKN2A/SFN/CYCS/CDK4/BID/ADGRB1/CHEK2
hsa04064,NF-kappa B signaling pathway,84,0.467044315969574,1.86572080405795,0.00284090909090909,0.0358287545787546,0.0256651243493349,2348,tags=37%, list=19%, signal=30%,BCL2A1/CXCL8/TNFRSF11A/LCK/CCL4/BIRC3/IRAK1/LTB/LYN/VCAM1/CD40LG/PLCG2/ICAM1/DDX58/LBP/TNFAIP3/PRKCQ/CCL13/CD14/PARP1/SYK/TNF/LTA/PTGS2/LTBR/TRAF2/RELB/CD40/CSNK2B/NFKBIA/TRAF1
hsa04114,Oocyte meiosis,92,0.450390051440642,1.8186415311015,0.00302114803625378,0.0358287545787546,0.0256651243493349,895,tags=21%, list=7%, signal=19%,CDC20/CCNB2/CDK1/MAD2L1/CALML5/AURKA/CCNB1/PTTG1/PLK1/ESPL1/CCNE1/CCNE2/BUB1/FBXO5/ADCY8/PPP1CA/CALML4/PKMYT1/CDC25C
hsa05110,Vibrio cholerae infection,45,0.445237840933285,1.58246343069632,0.00555555555555556,0.0483024691358025,0.0346003898635478,2953,tags=44%, list=24%, signal=34%,PDIA4/PLCG2/SEC61G/ATP6V0A4/ERO1A/SEC61A2/ATP6V0B/SEC61B/ATP6V1F/ATP6V1B1/TJP2/KDELR2/CFTR/PRKACB/PRKCA/SEC61A1/ATP6V0D1/GNAS/KDELR3/PRKACG
hsa05169,Epstein-Barr virus infection,192,0.433477012497725,1.96365758384725,0.00348432055749129,0.0358287545787546,0.0256651243493349,2812,tags=40%, list=23%, signal=31%,CXCL10/CCNA2/TAP1/ISG15/CCNE1/CCNE2/SKP2/STAT1/HLA-DRB4/HLA-DOB/MYC/CD3G/PSMD3/E2F1/IRAK1/CD247/CD3D/LYN/OAS1/RUNX3/OAS3/PSMD7/PLCG2/ADRM1/HDAC2/CYCS/E2F3/BAK1/CDK4/BID/CD3E/ICAM1/OAS2/PSMD14/DDX58/NFKBIB/MAPK13/SEM1/TNFAIP3/TAP2/CD19/PSMD8/IFNA21/SYK/PSMC3/NFKBIE/TNF/IL6/TLR2/PSMD2/FCER2/FADD/HLA-DQB1/PSMC4/TRAF2/RELB/HLA-G/CR2/CD40/EIF2AK2/NFKBIA/BCL2L11/SAP30/HLA-F/IRF9/IKBKE/CHUK/PSMD12/MAPK12/HLA-DMB/CALR/MAP2K3/PDIA3/HLA-DMA/PSMD1/MAPK14
hsa04914,Progesterone-mediated oocyte maturation,76,0.43153792193799,1.70450766963173,0.00289855072463768,0.0358287545787546,0.0256651243493349,895,tags=17%, list=7%, signal=16%,CCNB2/CCNA2/CDK1/MAD2L1/AURKA/CCNB1/CDC25A/PLK1/CDC25B/BUB1/ADCY8/PKMYT1/CDC25C
hsa05322,Systemic lupus erythematosus,73,0.422949772398568,1.66457012467807,0.00279329608938547,0.0358287545787546,0.0256651243493349,2224,tags=40%, list=18%, signal=33%,C1QB/C1QA/HLA-DRB4/HLA-DOB/H2AFZ/HIST1H2BK/H2AFY2/HIST1H2BJ/HIST1H3H/IFNG/CD40LG/SNRPD3/HIST3H2A/CD86/HIST1H2AM/SNRPD1/ELANE/CD28/HIST1H2BH/HIST1H2BB/SNRPB/H2AFX/TNF/HLA-DQB1/HIST3H3/C8G/CD40/FCGR3B/HIST1H2AB
hsa00240,Pyrimidine metabolism,76,0.419653693064476,1.65756681407124,0.00289855072463768,0.0358287545787546,0.0256651243493349,2149,tags=34%, list=17%, signal=28%,RRM2/CTPS1/TK1/UPP1/TYMS/NME1/PNP/POLE2/POLA2/DTYMK/POLR2F/PRIM1/DPYS/UPB1/PRIM2/POLD1/DCK/POLR2K/NT5C2/TYMP/POLD2/POLR2D/POLE3/UMPS/RRM1/POLR3G
