"","cellnumber","orig.ident","celltype","cluster"
"105",0,"AEH","Unciliated epithelial cells","cluster  14"
"106",0,"EEC","Ciliated epithelial cells","cluster  0"
"107",0,"EEC","Endothelial cells","cluster  0"
"108",5842,"EEC","Lymphocytes","cluster  0"
"109",0,"EEC","Macrophages","cluster  0"
"110",0,"EEC","Smooth muscle cells","cluster  0"
"111",0,"EEC","Stromal fibroblasts","cluster  0"
"112",0,"EEC","Unciliated epithelial cells","cluster  0"
"113",8,"EEC","Ciliated epithelial cells","cluster  1"
"114",0,"EEC","Endothelial cells","cluster  1"
"115",0,"EEC","Lymphocytes","cluster  1"
"116",0,"EEC","Macrophages","cluster  1"
"117",0,"EEC","Smooth muscle cells","cluster  1"
"118",0,"EEC","Stromal fibroblasts","cluster  1"
"119",976,"EEC","Unciliated epithelial cells","cluster  1"
"120",0,"EEC","Ciliated epithelial cells","cluster  2"
"121",517,"EEC","Endothelial cells","cluster  2"
"122",0,"EEC","Lymphocytes","cluster  2"
"123",0,"EEC","Macrophages","cluster  2"
"124",0,"EEC","Smooth muscle cells","cluster  2"
"125",0,"EEC","Stromal fibroblasts","cluster  2"
"126",0,"EEC","Unciliated epithelial cells","cluster  2"
"127",0,"EEC","Ciliated epithelial cells","cluster  3"
"128",0,"EEC","Endothelial cells","cluster  3"
"129",0,"EEC","Lymphocytes","cluster  3"
"130",0,"EEC","Macrophages","cluster  3"
"131",1,"EEC","Smooth muscle cells","cluster  3"
"132",1201,"EEC","Stromal fibroblasts","cluster  3"
"133",0,"EEC","Unciliated epithelial cells","cluster  3"
"134",0,"EEC","Ciliated epithelial cells","cluster  4"
"135",0,"EEC","Endothelial cells","cluster  4"
"136",486,"EEC","Lymphocytes","cluster  4"
"137",0,"EEC","Macrophages","cluster  4"
"138",0,"EEC","Smooth muscle cells","cluster  4"
"139",0,"EEC","Stromal fibroblasts","cluster  4"
"140",0,"EEC","Unciliated epithelial cells","cluster  4"
"141",0,"EEC","Ciliated epithelial cells","cluster  5"
"142",0,"EEC","Endothelial cells","cluster  5"
"143",0,"EEC","Lymphocytes","cluster  5"
"144",0,"EEC","Macrophages","cluster  5"
"145",604,"EEC","Smooth muscle cells","cluster  5"
"146",0,"EEC","Stromal fibroblasts","cluster  5"
"147",0,"EEC","Unciliated epithelial cells","cluster  5"
"148",0,"EEC","Ciliated epithelial cells","cluster  6"
"149",0,"EEC","Endothelial cells","cluster  6"
"150",801,"EEC","Lymphocytes","cluster  6"
"151",0,"EEC","Macrophages","cluster  6"
"152",0,"EEC","Smooth muscle cells","cluster  6"
"153",0,"EEC","Stromal fibroblasts","cluster  6"
"154",0,"EEC","Unciliated epithelial cells","cluster  6"
"155",52,"EEC","Ciliated epithelial cells","cluster  7"
"156",0,"EEC","Endothelial cells","cluster  7"
"157",0,"EEC","Lymphocytes","cluster  7"
"158",0,"EEC","Macrophages","cluster  7"
"159",0,"EEC","Smooth muscle cells","cluster  7"
"160",0,"EEC","Stromal fibroblasts","cluster  7"
"161",0,"EEC","Unciliated epithelial cells","cluster  7"
"162",0,"EEC","Ciliated epithelial cells","cluster  8"
"163",0,"EEC","Endothelial cells","cluster  8"
"164",0,"EEC","Lymphocytes","cluster  8"
"165",432,"EEC","Macrophages","cluster  8"
"166",0,"EEC","Smooth muscle cells","cluster  8"
"167",0,"EEC","Stromal fibroblasts","cluster  8"
"168",0,"EEC","Unciliated epithelial cells","cluster  8"
"169",0,"EEC","Ciliated epithelial cells","cluster  9"
"170",0,"EEC","Endothelial cells","cluster  9"
"171",471,"EEC","Lymphocytes","cluster  9"
"172",0,"EEC","Macrophages","cluster  9"
"173",0,"EEC","Smooth muscle cells","cluster  9"
"174",0,"EEC","Stromal fibroblasts","cluster  9"
"175",0,"EEC","Unciliated epithelial cells","cluster  9"
"176",0,"EEC","Ciliated epithelial cells","cluster  10"
"177",0,"EEC","Endothelial cells","cluster  10"
"178",297,"EEC","Lymphocytes","cluster  10"
"179",0,"EEC","Macrophages","cluster  10"
"180",0,"EEC","Smooth muscle cells","cluster  10"
"181",0,"EEC","Stromal fibroblasts","cluster  10"
"182",0,"EEC","Unciliated epithelial cells","cluster  10"
"183",0,"EEC","Ciliated epithelial cells","cluster  11"
"184",0,"EEC","Endothelial cells","cluster  11"
"185",210,"EEC","Lymphocytes","cluster  11"
"186",0,"EEC","Macrophages","cluster  11"
"187",0,"EEC","Smooth muscle cells","cluster  11"
"188",0,"EEC","Stromal fibroblasts","cluster  11"
"189",0,"EEC","Unciliated epithelial cells","cluster  11"
"190",0,"EEC","Ciliated epithelial cells","cluster  12"
"191",0,"EEC","Endothelial cells","cluster  12"
"192",83,"EEC","Lymphocytes","cluster  12"
"193",0,"EEC","Macrophages","cluster  12"
"194",0,"EEC","Smooth muscle cells","cluster  12"
"195",0,"EEC","Stromal fibroblasts","cluster  12"
"196",0,"EEC","Unciliated epithelial cells","cluster  12"
"197",0,"EEC","Ciliated epithelial cells","cluster  13"
"198",0,"EEC","Endothelial cells","cluster  13"
"199",0,"EEC","Lymphocytes","cluster  13"
"200",0,"EEC","Macrophages","cluster  13"
"201",0,"EEC","Smooth muscle cells","cluster  13"
"202",12,"EEC","Stromal fibroblasts","cluster  13"
"203",0,"EEC","Unciliated epithelial cells","cluster  13"
"204",0,"EEC","Ciliated epithelial cells","cluster  14"
"205",40,"EEC","Endothelial cells","cluster  14"
"206",0,"EEC","Lymphocytes","cluster  14"
"207",0,"EEC","Macrophages","cluster  14"
"208",0,"EEC","Smooth muscle cells","cluster  14"
"209",0,"EEC","Stromal fibroblasts","cluster  14"
"210",0,"EEC","Unciliated epithelial cells","cluster  14"
"211",0,"HC","Ciliated epithelial cells","cluster  0"
"212",0,"HC","Endothelial cells","cluster  0"
"213",1193,"HC","Lymphocytes","cluster  0"
"214",0,"HC","Macrophages","cluster  0"
"215",0,"HC","Smooth muscle cells","cluster  0"
"216",0,"HC","Stromal fibroblasts","cluster  0"
"217",0,"HC","Unciliated epithelial cells","cluster  0"
"218",614,"HC","Ciliated epithelial cells","cluster  1"
"219",0,"HC","Endothelial cells","cluster  1"
"220",0,"HC","Lymphocytes","cluster  1"
"221",0,"HC","Macrophages","cluster  1"
"222",0,"HC","Smooth muscle cells","cluster  1"
