gene,immune_cells,cor,p.value
SCOC,aDC,0.169595159990211,1.51247607764797e-05
SCOC,B.cells,-0.0824678230495998,0.0364118721472198
SCOC,CD8.T.cells,0.0988762146136215,0.0120568295281743
SCOC,Cytotoxic.cells,0.282522531841225,2.77214149689848e-13
SCOC,DC,0.0790158136899854,0.045023397632159
SCOC,Eosinophils,-0.0977316161314005,0.0130913538398662
SCOC,iDC,0.0927072251758986,0.0186153950345885
SCOC,Macrophages,-0.0813944727665305,0.0389254078451259
SCOC,Mast.cells,-0.102538229235877,0.00921589355595911
SCOC,Neutrophils,0.0712442345356367,0.0707997168882786
SCOC,NK.CD56bright.cells,0.425941855192207,9.06115396395095e-30
SCOC,NK.CD56dim.cells,0.182048427943796,3.32247772741895e-06
SCOC,NK.cells,0.231077222351973,2.971343133432e-09
SCOC,pDC,-0.0314890616848492,0.42501662794773
SCOC,T.cells,0.0496621787753501,0.208170106103516
SCOC,T.helper.cells,-0.261522551930106,1.56784387358522e-11
SCOC,Tcm,-0.236266058793396,1.2770455870493e-09
SCOC,Tem,0.0986044498722271,0.0122956860722108
SCOC,TFH,0.0447103454866036,0.257221087723566
SCOC,Tgd,-0.305610574694479,2.17418980338022e-15
SCOC,Th1.cells,0.0753529945982129,0.0559727737654963
SCOC,Th17.cells,0.126740662097098,0.00126822307700161
SCOC,Th2.cells,-0.202835533350986,2.08664813895923e-07
SCOC,TReg,0.24167882435586,5.18023352517449e-10
FAM198B,aDC,-0.0458277827300062,0.245507885971994
FAM198B,B.cells,-0.0431505153802281,0.274209752371156
FAM198B,CD8.T.cells,-0.0792098674229045,0.0444974885914496
FAM198B,Cytotoxic.cells,-0.0636891485685451,0.106365040151653
FAM198B,DC,-0.0606021228164041,0.124456480885641
FAM198B,Eosinophils,-0.0453835947945858,0.250118464142663
FAM198B,iDC,-0.0372043864062234,0.345868328679306
FAM198B,Macrophages,-0.0747561244252825,0.0579513282274206
FAM198B,Mast.cells,-0.0869825926908709,0.0272953943250276
FAM198B,Neutrophils,-0.0424619635200456,0.281947056502661
FAM198B,NK.CD56bright.cells,0.0484720114920897,0.219291528924368
FAM198B,NK.CD56dim.cells,0.0555752926666336,0.158926334029427
FAM198B,NK.cells,0.0267611812517579,0.497819430499111
FAM198B,pDC,-0.0502506101677347,0.202824790647852
FAM198B,T.cells,-0.0922163886620541,0.0192511117047952
FAM198B,T.helper.cells,-0.108987780104214,0.00562842039762193
FAM198B,Tcm,-0.0592041037827988,0.133399647934715
FAM198B,Tem,0.0326192077473882,0.408580367293354
FAM198B,TFH,-0.0189234826470142,0.631700945308959
FAM198B,Tgd,-0.0558648321648905,0.156763121400812
FAM198B,Th1.cells,-0.0614592934093483,0.119208319312595
FAM198B,Th17.cells,0.0722407432433074,0.0669369301045347
FAM198B,Th2.cells,-0.114890827254388,0.00350468137829141
FAM198B,TReg,-0.0539070123813497,0.171831470319888
GRAP2,aDC,-0.139828293483319,0.000372199039132283
GRAP2,B.cells,-0.0794868447269695,0.0437558114022457
GRAP2,CD8.T.cells,0.0482297713397226,0.221606307146367
GRAP2,Cytotoxic.cells,-0.14820857759377,0.000160219149924485
GRAP2,DC,-0.241095424224596,5.71535055279365e-10
GRAP2,Eosinophils,-0.116671643562135,0.00302511054273686
GRAP2,iDC,-0.245182310574953,2.8551032146924e-10
GRAP2,Macrophages,-0.283318956166045,2.3623585487049e-13
GRAP2,Mast.cells,-0.21401385931071,4.15399527018928e-08
GRAP2,Neutrophils,-0.229879892047566,3.6004009655621e-09
GRAP2,NK.CD56bright.cells,0.0811503997917733,0.0395170532565279
GRAP2,NK.CD56dim.cells,0.0322906084074266,0.413319982653853
GRAP2,NK.cells,0.122476163321202,0.00184701868535169
GRAP2,pDC,0.0180562971655845,0.647409041861782
GRAP2,T.cells,-0.218584857369604,2.09227635273715e-08
GRAP2,T.helper.cells,-0.104752803035017,0.00780278221847643
GRAP2,Tcm,0.0292089570956992,0.459325424407098
GRAP2,Tem,0.0266818313493273,0.499095329686998
GRAP2,TFH,-0.0942902411690525,0.016688300294849
GRAP2,Tgd,-0.181881522037369,3.39302806519083e-06
GRAP2,Th1.cells,-0.211331016604259,6.16933941665756e-08
GRAP2,Th17.cells,0.0495022490802263,0.209640363573611
GRAP2,Th2.cells,-0.214399320199454,3.92285156789359e-08
GRAP2,TReg,-0.0627027710611971,0.111904437242987
SYNPO2L,aDC,0.175855925337622,7.1530533512728e-06
SYNPO2L,B.cells,-0.0837887756965025,0.0335091429209439
SYNPO2L,CD8.T.cells,0.0410509214711319,0.298260814474089
SYNPO2L,Cytotoxic.cells,0.254394227191702,5.70223357463937e-11
SYNPO2L,DC,0.205184513132769,1.49745035939441e-07
SYNPO2L,Eosinophils,0.028296340857115,0.473479532733863
SYNPO2L,iDC,0.243977487423911,3.50792046358194e-10
SYNPO2L,Macrophages,0.0199915862522119,0.612579671839829
SYNPO2L,Mast.cells,0.0729625597962429,0.0642484354782633
SYNPO2L,Neutrophils,0.163229577022091,3.15194112126857e-05
SYNPO2L,NK.CD56bright.cells,0.294362519464782,2.43748075320395e-14
SYNPO2L,NK.CD56dim.cells,0.10151396702979,0.00994335489902026
SYNPO2L,NK.cells,0.162352869903194,3.47996711894156e-05
SYNPO2L,pDC,0.0882368799101593,0.0251416162455504
SYNPO2L,T.cells,0.0953360249261389,0.0155131884430444
SYNPO2L,T.helper.cells,-0.362924101049419,1.75640223360053e-21
SYNPO2L,Tcm,-0.425751261438165,9.66089499665516e-30
SYNPO2L,Tem,-0.0106125085416301,0.788083871970312
SYNPO2L,TFH,-0.0437383856951187,0.267719371572907
SYNPO2L,Tgd,-0.22604720492458,6.61040926673879e-09
SYNPO2L,Th1.cells,0.121644220688641,0.0019849265571692
SYNPO2L,Th17.cells,0.0993467844861762,0.01165293236933
SYNPO2L,Th2.cells,-0.192805154293896,8.23697499410636e-07
SYNPO2L,TReg,0.194176016635829,6.85604695196873e-07
SLC39A14,aDC,0.15318443156863,9.50507422067067e-05
SLC39A14,B.cells,-0.171243727174976,1.24501494032705e-05
SLC39A14,CD8.T.cells,0.107556287440334,0.00629321724566637
SLC39A14,Cytotoxic.cells,0.187221746078169,1.71590949387828e-06
SLC39A14,DC,0.00551495880038449,0.888910352640336
SLC39A14,Eosinophils,-0.0983548449372419,0.0125187408867141
SLC39A14,iDC,0.103804246510976,0.00838245273914276
SLC39A14,Macrophages,0.0381412611088036,0.333850087843872
SLC39A14,Mast.cells,0.0975779876762148,0.013236007477871
SLC39A14,Neutrophils,0.0444442732907516,0.26006622122818
SLC39A14,NK.CD56bright.cells,0.357036684293958,8.52038708209436e-21
SLC39A14,NK.CD56dim.cells,0.00141429357007657,0.971425057011236
SLC39A14,NK.cells,0.261019745540664,1.71955244379463e-11
SLC39A14,pDC,-0.0174514231708125,0.658459708146192
SLC39A14,T.cells,-0.00388520581319853,0.921611262331205
SLC39A14,T.helper.cells,-0.254399799837892,5.69656794697033e-11
SLC39A14,Tcm,-0.14145099540574,0.000317275936361788
SLC39A14,Tem,0.0595870446066109,0.130902022203149
SLC39A14,TFH,-0.0959422103351203,0.014865836548768
SLC39A14,Tgd,-0.161706843292233,3.74210843824718e-05
SLC39A14,Th1.cells,0.106852924853049,0.00664501969587566
SLC39A14,Th17.cells,0.0260956942817241,0.508573503719244
SLC39A14,Th2.cells,-0.144774681359812,0.000227565145160897
SLC39A14,TReg,0.10573328557342,0.00724151837474348
KIAA2026,aDC,0.0579298266188408,0.141976174715418
KIAA2026,B.cells,0.226665572363299,5.99751373267894e-09
KIAA2026,CD8.T.cells,0.141715471798004,0.000309076523099449
KIAA2026,Cytotoxic.cells,0.0768558134657108,0.0512384889330772
KIAA2026,DC,0.21613035564878,3.0294846314733e-08
KIAA2026,Eosinophils,0.123106116877561,0.00174849887848605
KIAA2026,iDC,0.31054270345208,7.28571081740115e-16
