,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_019639,91.811,146.841,78.692,181.514,337.471,425.22,259.284,508.794,209.866,218.799,235.271,189.244,199.424,245.795,235.384,592.098,132.321,203.649,121.656,223.652
NM_016776,110.071,115.941,98.982,115.948,145.229,141.772,145.967,135.556,140.948,133.388,150.638,130.51,122.613,157.515,118.736,142.121,145.279,128.68,136.337,114.339
NM_001003908,80.037,108.899,77.677,101.05,90.695,119.805,80.843,107.318,112.379,92.612,106.426,94.267,80.941,107.143,87.398,101.011,100.942,107.866,94.703,98.418
NR_045265,40.461,40.536,33.682,30.428,54.584,45.106,34.872,50.728,34.127,34.99,24.374,52.256,33.037,48.144,35.141,39.505,38.512,56.868,28.749,39.77
NM_013533,6.984,11.457,7.938,12.495,16.148,39.278,12.449,25.932,31.031,14.779,15.398,18.977,40.286,19.074,28.75,16.579,21.253,27.067,16.537,27.282
NM_010929,32.31,0.366,32.761,0.403,1.173,0.703,1.194,0.336,0.226,0.247,0,0.066,9.321,0.137,9.204,0.08,24.519,2.104,21.471,1.301
NM_001190732,3763.068,1.776,3923.559,1.467,0.566,0,0,0,0,0,0,0,1181.991,0,1161.403,0,1676.109,148.259,1444.921,126.285
