TF,target,importance
OSR2,EGLN3,30.37005334821648
SOX17,SLC9A3R2,30.331281344151698
KLF4,TUBB2A,30.184238858424987
ERG,ECSCR,30.182012705560318
KLF9,CLIC2,30.13166694050454
PROX1,NAAA,30.112741008207834
IRF6,PLAT,30.094708299226827
TBX1,PDPN,29.984717266084747
ERG,SCN1B,29.9143560723806
PROX1,ANGPT2,29.880733867563848
ANXA1,CALU,29.867961406101863
HOXD10,GAP43,29.844978781495183
TBX1,SCN3A,29.831069214490793
TCF15,AQP1,29.821628476571952
HMGN3,MCM6,29.810980770732776
HMGN3,DCTPP1,29.776445254931403
TBX1,CYP4B1,29.56894119865368
IRF6,UBE2QL1,29.508882491716502
ANXA1,SLC35E4,29.41199014908975
HIVEP3,COL5A2,29.224526244418378
SOX18,ENG,29.220419891087573
SHOX2,AXL,29.195883971376205
ARG1,CCDC80,29.159476894494155
HIVEP3,FLT4,28.99841095709043
MEOX1,FLT4,28.97023408364757
FOSB,EGR1,28.913858726972276
HMGN3,PCBD1,28.90824430122467
HMGN3,DYSF,28.803994716630385
ETV1,TFPI,28.71626412163218
PRNP,CRELD2,28.698915312458595
CD59,AVPI1,28.67444855718452
ODC1,ANXA1,28.662190729161487
PROX1,ABI3BP,28.59417048004893
PRNP,NQO1,28.560942882648522
ANXA1,NQO1,28.551898750149054
EGR1,FOSB,28.5420444030573
ANXA1,SELENOM,28.46180867811581
CD59,SPARC,28.41384440634299
TBX1,F11R,28.25748973776928
PROX1,EMILIN1,28.25235292113324
MEOX1,KLHL4,28.156139100178763
IRF6,DBNDD2,28.143678270702253
FOSL1,PHLDA1,28.13241432731915
ANXA1,PROCR,28.130041392128657
PRNP,SERPINH1,28.08728811750808
HOXD9,SNCG,28.03070004269115
TBX1,SEMA3D,28.016628899737704
JUN,GADD45G,28.010301350001214
TBX1,CALCRL,27.989327516550862
KLF9,TGFBI,27.84506794016819
HOXD9,MAL,27.83913985605667
PROX1,RCAN2,27.82264315910532
ANXA1,FKBP10,27.795742236884212
JUN,ATF3,27.781894526156236
NR2F2,STARD10,27.772156774505454
VDR,TMEM176A,27.75494039513835
HOXD10,S100A16,27.71663840004018
TBX1,TGM2,27.698114324161146
ODC1,ECSCR,27.690669170271697
JUN,SOX18,27.684313221809973
TBX1,PTPRN2,27.64099556538749
HTATIP2,PCBD1,27.488787596380455
TBX1,CRIP2,27.486501929848387
PRNP,INSIG1,27.46211103022793
TBX1,ST6GALNAC2,27.42164678557055
NR2F2,NAAA,27.419270837470975
CD59,MALL,27.398398811103775
EZH2,FN1,27.34343928261371
HOXD10,SDC4,27.332391177629386
HOXD9,RELN,27.29153688319391
PRNP,COL4A1,27.282328434498066
TBX1,TIMP3,27.22935943737592
NR2F2,EMILIN1,27.150628586178968
TBX1,EMILIN1,27.06564820285028
EZH2,DBI,27.06513694078781
KLF9,SMPDL3A,27.064297705441295
MEOX1,ADGRL4,26.890609555452492
FOS,SGK1,26.845006577291187
KLF9,LBP,26.820360978412815
TBX1,CLU,26.77959223833381
NR2F2,S100A16,26.776097872279568
DAB2,PDGFA,26.754006266563426
KLF9,SEMA3D,26.726002097503475
KLF9,NAAA,26.664555201185472
PROX1,NSG1,26.658511744511536
MEOX1,PDGFB,26.629573699585688
PROX1,COL8A2,26.628360346311222
JUN,DNAJB1,26.626429879742282
NR2F2,MMRN1,26.574278561790603
HOXD10,EGLN3,26.560202540048156
CD59,CLTB,26.5258506367429
EPAS1,TSPAN8,26.498209383251133
SOX17,ENG,26.497432529745556
KLF5,TTC9,26.453331679668974
NR4A2,IGSF3,26.386560219886775
HOXD9,KLHL4,26.373240802039383
PROX1,CTNNAL1,26.352175477630507
EZH2,CALU,26.284900132361344
HOXD10,PDLIM4,26.24794396191069
FOXC1,CCNE1,26.237259526445573
DAB2,IGFBP7,26.17622566190011
ODC1,ADAMTS4,26.144967540753058
HOXD10,PRSS23,26.140937201361712
KLF9,FCGRT,26.116045718593337
NR2F2,GPM6A,26.103374942460338
SOX17,SPARC,26.037574557936033
EPAS1,MRPS26,26.033035433289946
HOXD9,LBP,26.027840604591884
OSR2,PLOD2,26.025058875099596
FOXF1,TMEM176A,26.023055736195495
PROX1,TIMP3,25.98893495847867
BARX1,TPM2,25.967125543500813
NR2F2,MRC1,25.913706904390068
TBX1,AEBP1,25.91100642243446
ANXA1,RASIP1,25.89329410822553
ANXA1,CDH5,25.880013838884235
JUN,FOSB,25.873763209946418
HTATIP2,EFNA1,25.86884786949157
PROX1,KLF9,25.861719557914405
TBX1,LTBP4,25.826224766236958
KLF9,CALCRL,25.781686418250164
CD59,TIMP4,25.759560879162123
ARG1,STMN1,25.729283076993173
ID1,ID3,25.68969616434119
NR2F2,P3H3,25.682200553974003
TBX1,RHOJ,25.675098419051714
NR2F2,PTGFRN,25.670555538305372
PRNP,ODC1,25.645609291567027
PRNP,TRIM47,25.615912487962913
PRNP,SERPINE1,25.609865310843176
ANXA1,BOK,25.602482403732736
FOS,KLF4,25.60145288167873
HOXD9,EBPL,25.560406665997075
FOSL1,SLC35E4,25.55922400999455
PRNP,SELENOM,25.487026430546077
PROX1,IL18,25.46367398626216
HES1,SLC9A3R2,25.461356840960683
HMGN3,STMN1,25.434476606643045
DAB2,HMOX1,25.42556831853464
PROX1,STMN1,25.407171178944928
CD59,CDH13,25.37325388534447
TWIST2,SDC4,25.321843161592355
EGR1,NR4A1,25.316082067225224
TCF15,CYP4B1,25.29100102168268
ANXA1,ODC1,25.281640575226184
ANXA1,TM4SF1,25.239641477039292
ODC1,MYCT1,25.22929327874911
FOSL1,ATP8B1,25.204953919927426
ANXA1,MALL,25.20351262029502
PROX1,SCN3A,25.141043871276327
FOSL1,EDNRB,25.114703019558046
PRNP,MYCT1,25.060413284827135
ODC1,DYNLL1,25.027155953574916
ANXA1,ELOVL1,24.996308172067575
KLF5,HOXD10,24.98885499190073
