ID	Type	TTYH3
TCGA-BR-8676-01A-11R-2402-13	Tumor	22.86937
TCGA-VQ-AA68-01A-11R-A414-31	Tumor	89.29176
TCGA-VQ-A91Y-01A-11R-A414-31	Tumor	42.82653
TCGA-HU-A4H8-01A-11R-A251-31	Tumor	21.05567
TCGA-VQ-A91E-01A-31R-A414-31	Tumor	37.06904
TCGA-CG-4477-01A-01R-1157-13	Tumor	30.36188
TCGA-VQ-A8PE-01A-11R-A414-31	Tumor	40.13323
TCGA-BR-7196-01A-11R-2055-13	Tumor	28.30064
TCGA-HU-A4H0-01A-11R-A251-31	Tumor	143.7538
TCGA-VQ-A94O-01A-11R-A414-31	Tumor	101.7446
TCGA-BR-8371-01A-11R-2343-13	Tumor	5.354634
TCGA-D7-6520-01A-11R-1802-13	Tumor	110.5109
TCGA-BR-8687-01A-11R-2402-13	Tumor	31.07635
TCGA-FP-7998-01A-11R-2203-13	Tumor	75.67732
TCGA-D7-8570-01A-11R-2343-13	Tumor	62.12349
TCGA-CG-4469-01A-01R-1157-13	Tumor	19.70132
TCGA-BR-6455-01A-11R-1802-13	Tumor	77.80681
TCGA-VQ-A8P5-01A-11R-A39E-31	Tumor	52.89826
TCGA-CD-8534-01A-11R-2343-13	Tumor	27.90626
TCGA-BR-A4PF-01A-11R-A251-31	Tumor	45.29185
TCGA-BR-8686-01A-11R-2402-13	Tumor	34.87924
TCGA-D7-5577-01A-01R-1602-13	Tumor	62.37637
TCGA-BR-8487-01A-11R-2402-13	Tumor	32.79059
TCGA-BR-4257-01A-01R-1131-13	Tumor	35.92819
TCGA-HU-A4G3-01A-11R-A24K-31	Tumor	33.03802
TCGA-CG-4460-01A-01R-1157-13	Tumor	13.81014
TCGA-VQ-A94R-01A-11R-A414-31	Tumor	43.71901
TCGA-HU-A4GD-01A-11R-A36D-31	Tumor	21.2527
TCGA-BR-7901-01A-11R-2203-13	Tumor	55.75583
TCGA-CD-A48A-01A-12R-A36D-31	Tumor	74.35037
TCGA-CG-5722-01A-21R-1602-13	Tumor	23.5446
TCGA-BR-8295-01A-11R-2343-13	Tumor	13.94879
TCGA-RD-A8MV-01A-11R-A36D-31	Tumor	31.94849
TCGA-R5-A7ZI-01A-11R-A354-31	Tumor	20.17053
TCGA-BR-A4J7-01A-31R-A251-31	Tumor	14.35409
TCGA-CG-5734-01A-11R-1602-13	Tumor	35.88158
TCGA-VQ-A91V-01A-11R-A414-31	Tumor	11.47536
TCGA-FP-8209-01A-11R-2343-13	Tumor	23.29168
TCGA-HU-A4H3-01A-21R-A251-31	Tumor	13.15102
TCGA-BR-4256-01A-01R-1131-13	Tumor	28.69174
TCGA-HU-A4G8-01A-11R-A251-31	Tumor	11.90045
TCGA-BR-4279-01A-01R-1131-13	Tumor	13.13173
TCGA-CD-8532-01A-11R-2343-13	Tumor	32.61422
TCGA-VQ-A91Q-01A-12R-A414-31	Tumor	48.96138
TCGA-HU-A4GU-01A-11R-A251-31	Tumor	93.78537
TCGA-D7-6522-01A-11R-1802-13	Tumor	56.44862
TCGA-CG-4441-01A-01R-1802-13	Tumor	81.68637
TCGA-BR-7957-01A-11R-2203-13	Tumor	41.5377
TCGA-VQ-A91K-01A-11R-A414-31	Tumor	87.89114
TCGA-BR-6454-01A-11R-1802-13	Tumor	54.87199
TCGA-HU-A4H4-01A-21R-A251-31	Tumor	35.95296
TCGA-VQ-AA64-01A-11R-A414-31	Tumor	90.19669
TCGA-D7-8572-01A-11R-2343-13	Tumor	50.65785
TCGA-D7-A6EZ-01A-11R-A31P-31	Tumor	85.94044
TCGA-CG-4465-01A-01R-1157-13	Tumor	20.3716
TCGA-BR-4366-01A-01R-1157-13	Tumor	15.4789
TCGA-BR-8677-01A-11R-2402-13	Tumor	21.32806
TCGA-RD-A8N0-01A-12R-A36D-31	Tumor	10.63543
TCGA-D7-8579-01A-11R-2343-13	Tumor	39.55635
TCGA-B7-A5TN-01A-21R-A31P-31	Tumor	41.28878
TCGA-VQ-A927-01A-12R-A414-31	Tumor	20.93618
TCGA-RD-A7BS-01A-11R-A32D-31	Tumor	15.17861
TCGA-BR-6801-01A-11R-1884-13	Tumor	92.93746
TCGA-CG-5732-01A-11R-1602-13	Tumor	48.52592
TCGA-BR-4267-01A-01R-1131-13	Tumor	47.66039
TCGA-VQ-A91S-01A-11R-A414-31	Tumor	24.08455
TCGA-R5-A7ZF-01A-11R-A354-31	Tumor	23.10266
TCGA-BR-8364-01A-11R-2343-13	Tumor	34.25946
TCGA-VQ-A91X-01A-12R-A414-31	Tumor	25.99305
TCGA-BR-4371-01A-01R-1157-13	Tumor	27.61696
TCGA-BR-8286-01A-12R-2343-13	Tumor	33.88561
TCGA-D7-5578-01A-01R-1602-13	Tumor	43.27853
TCGA-BR-A4J5-01A-21R-A251-31	Tumor	28.20265
TCGA-BR-8058-01A-31R-2343-13	Tumor	36.74557
TCGA-D7-A74A-01A-11R-A32D-31	Tumor	21.21416
TCGA-VQ-AA6D-01A-11R-A414-31	Tumor	77.35424
TCGA-HU-A4G9-01A-11R-A24K-31	Tumor	7.668727
TCGA-HU-A4GP-01A-11R-A251-31	Tumor	16.9504
TCGA-VQ-A94T-01A-11R-A414-31	Tumor	114.5163
TCGA-RD-A8N5-01A-12R-A36D-31	Tumor	62.54293
TCGA-HU-8608-01A-11R-2402-13	Tumor	52.26208
TCGA-KB-A93H-01A-11R-A39E-31	Tumor	29.67628
TCGA-BR-6456-01A-11R-1802-13	Tumor	54.94868
TCGA-BR-4191-01A-02R-1131-13	Tumor	49.20734
TCGA-RD-A7BT-01A-11R-A33Y-31	Tumor	39.02175
TCGA-HU-A4H2-01A-11R-A251-31	Tumor	75.26478
TCGA-CG-5724-01A-11R-1602-13	Tumor	36.60942
TCGA-D7-8576-01A-11R-2343-13	Tumor	37.58067
TCGA-BR-4201-01A-01R-1131-13	Tumor	24.31524
TCGA-IN-7806-01A-11R-2055-13	Tumor	26.07371
TCGA-BR-8678-01A-11R-2402-13	Tumor	61.26256
TCGA-VQ-A91U-01A-11R-A414-31	Tumor	28.98779
TCGA-FP-7916-01A-11R-2203-13	Tumor	109.2775
TCGA-D7-A4Z0-01A-22R-A251-31	Tumor	18.20207
TCGA-BR-8588-01A-11R-2402-13	Tumor	36.43378
TCGA-CG-5726-01A-11R-1602-13	Tumor	37.60646
TCGA-BR-6565-01A-11R-1802-13	Tumor	45.06779
TCGA-IN-A7NR-01A-11R-A354-31	Tumor	19.54564
TCGA-VQ-A8PQ-01A-11R-A414-31	Tumor	37.51063
TCGA-BR-8369-01A-11R-2343-13	Tumor	20.30967
TCGA-VQ-A8PK-01A-12R-A414-31	Tumor	72.46638
TCGA-BR-6453-01A-11R-1802-13	Tumor	29
TCGA-BR-6457-01A-21R-1802-13	Tumor	33.16322
TCGA-VQ-A925-01A-11R-A414-31	Tumor	17.22751
TCGA-D7-A6F2-01A-12R-A31P-31	Tumor	53.29769
TCGA-CG-4301-01A-01R-1157-13	Tumor	25.86591
TCGA-CG-5719-01A-11R-1602-13	Tumor	50.24391
TCGA-B7-A5TJ-01A-11R-A31P-31	Tumor	59.22979
TCGA-BR-6803-01A-11R-1884-13	Tumor	21.14011
TCGA-CD-5801-01A-11R-1602-13	Tumor	141.5764
TCGA-CD-A489-01A-11R-A24K-31	Tumor	43.08767
TCGA-BR-8680-01A-11R-2402-13	Tumor	40.2952
TCGA-HU-8602-01A-11R-2402-13	Tumor	30.24077
TCGA-CG-5717-01A-11R-1602-13	Tumor	12.00706
TCGA-B7-A5TI-01A-11R-A31P-31	Tumor	24.55839
TCGA-FP-A8CX-01A-11R-A36D-31	Tumor	26.62855
TCGA-CG-5718-01A-11R-1602-13	Tumor	64.63404
TCGA-RD-A8N4-01A-21R-A36D-31	Tumor	8.995733
TCGA-KB-A93J-01A-11R-A39E-31	Tumor	24.23619
TCGA-HU-8249-01A-11R-A36D-31	Tumor	33.14792
TCGA-D7-8574-01A-13R-2343-13	Tumor	41.06973
TCGA-CD-8525-01A-11R-2343-13	Tumor	27.11552
TCGA-BR-8060-01A-11R-2343-13	Tumor	43.55918
TCGA-CD-8530-01A-11R-2343-13	Tumor	33.65194
TCGA-HU-8604-01A-11R-2402-13	Tumor	26.21846
TCGA-MX-A5UG-01A-21R-A31P-31	Tumor	42.84537
TCGA-CG-4475-01A-01R-1157-13	Tumor	51.31958
TCGA-IN-8462-01A-11R-2343-13	Tumor	15.83599
TCGA-BR-8690-01A-11R-2402-13	Tumor	15.11633
TCGA-BR-4370-01A-01R-1157-13	Tumor	31.98391
TCGA-D7-A6EV-01A-11R-A31P-31	Tumor	18.27994
TCGA-BR-7715-01A-11R-2055-13	Tumor	88.44738
TCGA-BR-A4J9-01A-12R-A251-31	Tumor	6.963158
TCGA-BR-A4J6-01A-11R-A251-31	Tumor	17.2494
TCGA-BR-8380-01A-11R-2343-13	Tumor	13.39146
TCGA-BR-6563-01A-13R-2055-13	Tumor	25.71662
TCGA-CD-5798-01A-11R-1602-13	Tumor	42.77753
TCGA-RD-A7C1-01A-11R-A32D-31	Tumor	18.04407
TCGA-D7-6519-01A-11R-1802-13	Tumor	48.2721
TCGA-VQ-A91N-01A-11R-A414-31	Tumor	27.60083
TCGA-CG-4306-01A-01R-1157-13	Tumor	18.2966
TCGA-VQ-A8P2-01A-11R-A36D-31	Tumor	35.5484
TCGA-D7-6521-01A-11R-1802-13	Tumor	27.77082
TCGA-VQ-A8E7-01B-11R-A414-31	Tumor	55.90543
TCGA-D7-6815-01A-11R-1884-13	Tumor	40.72465
TCGA-BR-4280-01A-01R-1131-13	Tumor	26.09553
TCGA-VQ-AA6F-01A-31R-A414-31	Tumor	25.60102
TCGA-BR-7707-01A-11R-2055-13	Tumor	59.1681
TCGA-BR-A4CR-01A-11R-A24K-31	Tumor	18.43013
TCGA-BR-A4CS-01A-11R-A24K-31	Tumor	27.2936
TCGA-BR-8381-01A-11R-2402-13	Tumor	35.84502
TCGA-BR-6710-01A-11R-1884-13	Tumor	5.536675
TCGA-IN-A6RI-01A-11R-A32D-31	Tumor	20.03252
TCGA-3M-AB47-01A-22R-A414-31	Tumor	17.57262
TCGA-BR-6458-01A-11R-1802-13	Tumor	101.8781
TCGA-VQ-A922-01A-11R-A414-31	Tumor	46.08813
TCGA-HU-8610-01A-22R-2402-13	Tumor	57.3448
TCGA-IN-A6RN-01A-12R-A33Y-31	Tumor	5.909916
TCGA-BR-A44T-01A-32R-A24K-31	Tumor	10.92326
TCGA-CG-5720-01A-11R-1602-13	Tumor	43.22884
TCGA-VQ-A8E0-01A-11R-A414-31	Tumor	23.47837
TCGA-VQ-A8E2-01A-11R-A36D-31	Tumor	82.30753
TCGA-D7-6525-01A-11R-1802-13	Tumor	57.74899
TCGA-CD-5804-01A-12R-2055-13	Tumor	63.49067
